,group,disjoint,M*A*S*H,Cheers,St. Elsewhere,Arrested Development,Iron Man,Homicide,The Wire,X-Files,Better Call Saul,The Walking Dead,Fear The Walking Dead,The Office (U.K.),Parks and Rec,The Office (U.S.),Breaking Bad,Law and Order: SVU,Law and Order,Law and Order: Criminal Intent,Law and Order: Trial by Jury,Law and Order: Organized Crime,Law and Order: LA,30 Rock,Mad Men,Castle,The Big Bang Theory,24,Bless The Harts,King of the Hill,The Simpsons,Futurama,Adventure Time,Family Guy,American Dad,South Park,Scooby Doo,Supernatural,Batman,Superman,Spiderman,Captain America,Hulk,X-Men,Deadpool,Alien,Predator,Evil Dead,A Nightmare on Elm Street,Friday the 13th,Star Trek,Doctor Who,Transformers
Spiderman,Superhero,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,-1,1,1,,,,,1,,,,,1
Captain America,Superhero,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,-1,1,,1,,,1,,,,,
Hulk,Superhero,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,-1,,,,,1,,,,,
X-Men,Superhero,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,1,,,1,,,1,,
Deadpool,Superhero,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,-1,,,,,,,,
Alien,Film,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,-1,1,,,,,,
Predator,Film,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,,,,,,
Evil Dead,Film,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,-1,1,1,,,
A Nightmare on Elm Street,Film,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1,,,
Friday the 13th,Film,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,-1,,,1
Star Trek,Live Action Drama,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,-1,1,1
Doctor Who,Live Action Drama,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,-1,1
Transformers,Animated,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,-1
