Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Seattle Seahawks,245,4899,5.1,3250,15,1649,8
San Francisco 49ers,273,4710,4.7,3203,19,1507,7
Chicago Bears,277,5050,4.9,3423,19,1627,6
Denver Broncos,289,4652,4.6,3194,25,1458,5
Atlanta Falcons,299,5849,5.9,3878,14,1971,16
Pittsburgh Steelers,314,4413,4.6,2963,19,1450,9
Miami Dolphins,317,5708,5.3,3974,18,1734,10
Cincinnati Bengals,320,5115,4.9,3400,16,1715,13
Houston Texans,331,5172,5.1,3612,29,1560,5
New England Patriots,331,5972,5.7,4342,27,1630,10
Green Bay Packers,336,5388,5.2,3492,24,1896,12
Baltimore Ravens,344,5615,5.2,3650,15,1965,15
New York Giants,344,6134,6.0,4068,26,2066,9
Minnesota Vikings,348,5600,5.2,3908,28,1692,10
St. Louis Rams,348,5482,5.3,3602,16,1880,18
San Diego Chargers,350,5223,5.2,3681,28,1542,10
Arizona Cardinals,357,5405,5.2,3213,20,2192,12
Carolina Panthers,363,5329,5.3,3568,22,1761,11
Cleveland Browns,368,5821,5.3,3923,27,1898,14
New York Jets,375,5174,5.1,3036,20,2138,17
Indianapolis Colts,387,5988,6.0,3788,23,2200,14
Washington Redskins,388,6043,5.9,4511,31,1532,11
Tampa Bay Buccaneers,394,6078,5.9,4758,30,1320,13
Dallas Cowboys,400,5687,5.8,3684,22,2003,17
Kansas City Chiefs,425,5704,5.9,3533,29,2171,11
Buffalo Bills,435,5806,5.6,3473,25,2333,23
Detroit Lions,437,5458,5.5,3569,26,1889,13
Oakland Raiders,443,5672,5.7,3775,28,1897,18
Philadelphia Eagles,444,5491,5.5,3470,33,2021,11
Jacksonville Jaguars,444,6088,5.5,3832,21,2256,19
New Orleans Saints,454,7042,6.5,4681,31,2361,18
Tennessee Titans,471,5999,5.5,3964,31,2035,16
