Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
New England Patriots,557,6846,5.7,4662,34,2184,25
Denver Broncos,481,6366,5.8,4534,37,1832,12
New Orleans Saints,461,6574,6.2,4997,43,1577,10
Washington Redskins,436,6131,6.2,3422,24,2709,22
Green Bay Packers,433,5751,5.5,4049,40,1702,9
New York Giants,429,5687,5.9,3825,26,1862,18
Atlanta Falcons,419,5906,5.8,4509,32,1397,12
Houston Texans,416,5953,5.5,3830,22,2123,19
Seattle Seahawks,412,5610,5.8,3031,27,2579,16
Baltimore Ravens,398,5640,5.4,3739,22,1901,17
San Francisco 49ers,397,5789,6.0,3298,23,2491,17
Cincinnati Bengals,391,5323,5.2,3578,28,1745,11
Tampa Bay Buccaneers,389,5820,5.8,3983,27,1837,13
Minnesota Vikings,379,5385,5.4,2751,18,2634,16
Dallas Cowboys,376,5994,5.7,4729,29,1265,8
Chicago Bears,375,4969,5.0,2999,21,1970,11
Detroit Lions,372,6540,5.6,4927,22,1613,17
Carolina Panthers,357,5771,5.8,3683,19,2088,21
Indianapolis Colts,357,5799,5.2,4128,23,1671,11
San Diego Chargers,350,4756,4.8,3295,26,1461,4
Buffalo Bills,344,5486,5.6,3269,24,2217,12
Pittsburgh Steelers,336,5324,5.2,3787,27,1537,8
Tennessee Titans,330,5010,5.2,3323,17,1687,10
Cleveland Browns,302,5028,5.0,3435,16,1593,12
St. Louis Rams,299,5264,5.3,3550,22,1714,5
Oakland Raiders,290,5504,5.3,4084,24,1420,4
Miami Dolphins,288,4984,5.1,3182,13,1802,15
New York Jets,281,4787,4.6,2891,14,1896,12
Philadelphia Eagles,280,5665,5.3,3791,18,1874,10
Jacksonville Jaguars,255,4788,4.8,3419,20,1369,5
Arizona Cardinals,250,4209,4.1,3005,11,1204,10
Kansas City Chiefs,211,5108,5.0,2713,8,2395,9
