Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
New York Jets,236,4037,4.2,2459,8,1578,11
Dallas Cowboys,250,5054,5.2,3606,19,1448,7
Baltimore Ravens,261,4808,4.9,3316,17,1492,8
San Francisco 49ers,281,5222,5.0,3670,14,1552,12
New England Patriots,285,5123,5.4,3355,25,1768,6
Cincinnati Bengals,291,4822,4.9,3249,18,1573,12
Green Bay Packers,297,4551,4.8,3218,29,1333,5
Indianapolis Colts,307,5427,5.0,3403,19,2024,10
Carolina Panthers,308,5053,5.2,3056,14,1997,15
Minnesota Vikings,312,4888,5.2,3494,26,1394,5
San Diego Chargers,320,5232,5.3,3348,23,1884,10
Denver Broncos,324,5040,5.0,2981,18,2059,11
Pittsburgh Steelers,324,4885,5.1,3447,22,1438,7
Atlanta Falcons,325,5582,5.6,3871,25,1711,10
Arizona Cardinals,325,5543,5.3,3739,22,1804,13
Buffalo Bills,326,5449,5.0,2948,14,2501,19
Houston Texans,333,5198,5.3,3487,19,1711,17
Washington Redskins,336,5115,5.1,3316,19,1799,10
Philadelphia Eagles,337,5137,5.0,3462,27,1675,11
New Orleans Saints,341,5724,5.5,3769,15,1955,19
Cleveland Browns,375,6229,5.8,3915,22,2314,15
Chicago Bears,375,5404,5.2,3382,29,2022,14
Oakland Raiders,379,5791,5.7,3303,16,2488,24
Jacksonville Jaguars,380,5637,5.7,3774,28,1863,12
Miami Dolphins,390,5589,5.8,3754,23,1835,16
Seattle Seahawks,390,5703,5.6,3927,27,1776,17
Tampa Bay Buccaneers,400,5849,5.6,3318,28,2531,16
Tennessee Titans,402,5850,5.6,4139,31,1711,16
Kansas City Chiefs,424,6211,5.8,3707,25,2504,18
New York Giants,427,5198,5.5,3425,31,1773,21
St. Louis Rams,436,5965,5.9,3764,22,2201,24
Detroit Lions,494,6274,6.1,4249,35,2025,18
