Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Chicago Bears,202,4509,4.4,2872,10,1637,9
Indianapolis Colts,247,4913,5.2,3151,17,1762,9
Pittsburgh Steelers,258,4544,4.6,3168,15,1376,10
Denver Broncos,258,5006,5.1,3643,20,1363,10
Carolina Panthers,259,4522,4.6,3057,15,1465,9
Jacksonville Jaguars,269,4655,4.8,2946,22,1709,4
Seattle Seahawks,271,5069,4.9,3559,18,1510,5
Tampa Bay Buccaneers,274,4444,4.7,2929,15,1515,10
Washington Redskins,293,4767,4.9,3081,15,1686,15
Baltimore Ravens,299,4549,4.6,2958,18,1591,8
Cleveland Browns,301,5069,5.0,2867,19,2202,11
Dallas Cowboys,308,4814,5.1,3083,18,1731,13
San Diego Chargers,312,4948,5.0,3599,20,1349,14
New York Giants,314,5240,5.0,3584,20,1656,12
Miami Dolphins,317,5078,4.7,3307,23,1771,11
Kansas City Chiefs,325,5249,5.4,3679,25,1570,11
New England Patriots,338,5283,5.3,3703,25,1580,11
Atlanta Falcons,341,5200,5.2,3137,18,2063,18
Minnesota Vikings,344,5173,5.0,3332,23,1841,14
Green Bay Packers,344,4690,4.8,2680,22,2010,10
Detroit Lions,345,5158,5.1,3118,19,2040,15
Cincinnati Bengals,350,5419,5.6,3569,21,1850,16
New York Jets,355,4940,4.7,2755,17,2185,19
Buffalo Bills,367,5496,5.3,3291,19,2205,22
Oakland Raiders,383,5292,5.1,3243,18,2049,18
Arizona Cardinals,387,4729,5.1,3097,17,1632,22
Philadelphia Eagles,388,5206,5.0,3323,24,1883,15
New Orleans Saints,398,4994,5.3,2849,20,2145,16
Tennessee Titans,421,5110,5.3,3216,33,1894,12
San Francisco 49ers,428,6259,5.7,4427,28,1832,19
St. Louis Rams,429,5602,5.6,3424,26,2178,22
Houston Texans,431,5824,5.8,3521,24,2303,21
