Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Seattle Seahawks,452,5915,5.8,3458,25,2457,29
Indianapolis Colts,439,5799,5.8,4096,31,1703,18
New York Giants,422,5787,5.5,3578,24,2209,17
Cincinnati Bengals,421,5730,5.6,3820,32,1910,15
San Diego Chargers,418,5567,5.4,3495,27,2072,22
Kansas City Chiefs,403,6192,5.8,3810,17,2382,26
Denver Broncos,395,5766,5.6,3227,18,2539,25
Carolina Panthers,391,4950,5.1,3271,25,1679,17
Pittsburgh Steelers,389,5149,5.4,2926,21,2223,21
New England Patriots,379,5632,5.5,4120,28,1512,16
St. Louis Rams,363,5571,5.4,4036,23,1535,13
Jacksonville Jaguars,361,5149,5.0,3190,21,1959,18
Washington Redskins,359,5289,5.1,3106,25,2183,15
Atlanta Falcons,351,5225,5.1,2679,19,2546,17
Dallas Cowboys,325,5202,4.9,3341,23,1861,13
Miami Dolphins,318,5198,5.1,3300,22,1898,11
Arizona Cardinals,311,5575,5.2,4437,21,1138,2
Philadelphia Eagles,310,5109,5.0,3677,21,1432,11
Minnesota Vikings,306,4613,4.9,3146,18,1467,10
Tampa Bay Buccaneers,300,4716,4.8,2890,17,1826,13
Tennessee Titans,299,5122,5.0,3597,20,1525,8
Green Bay Packers,298,5118,4.9,3766,20,1352,11
Oakland Raiders,290,4951,5.0,3582,21,1369,11
Buffalo Bills,271,4122,4.4,2515,18,1607,6
Baltimore Ravens,265,4693,4.4,3088,17,1605,5
Houston Texans,260,4053,4.2,2237,15,1816,9
Chicago Bears,260,4101,4.4,2002,11,2099,11
Detroit Lions,254,4319,4.5,2848,15,1471,10
New York Jets,240,3970,4.4,2642,11,1328,10
San Francisco 49ers,239,3587,4.1,1898,8,1689,9
New Orleans Saints,235,5031,4.9,3343,15,1688,8
Cleveland Browns,232,4550,4.9,3047,15,1503,4
