Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Pittsburgh Steelers,227,4348,4.5,2751,15,1597,7
San Francisco 49ers,229,4931,5.1,3695,20,1236,3
Baltimore Ravens,266,4622,4.6,3140,11,1482,10
Houston Texans,278,4571,4.8,3035,18,1536,8
Cleveland Browns,307,5318,5.1,2959,16,2359,12
Miami Dolphins,313,5522,5.3,3992,24,1530,8
Seattle Seahawks,315,5315,5.1,3518,18,1797,10
Tennessee Titans,317,5682,5.3,3629,21,2053,10
Cincinnati Bengals,323,5060,5.0,3385,21,1675,14
Philadelphia Eagles,328,5198,5.3,3397,27,1801,11
Jacksonville Jaguars,329,5008,5.1,3341,21,1667,14
Kansas City Chiefs,338,5333,5.4,3221,23,2112,14
New Orleans Saints,339,5895,5.8,4157,24,1738,11
Chicago Bears,341,5607,5.4,4065,22,1542,10
New England Patriots,342,6577,6.2,4703,26,1874,13
Dallas Cowboys,347,5491,5.6,3906,24,1585,10
Arizona Cardinals,348,5682,5.2,3696,17,1986,15
Atlanta Falcons,350,5338,5.5,3786,25,1552,10
Green Bay Packers,359,6585,6.3,4796,29,1789,10
New York Jets,363,4993,5.0,3216,15,1777,17
Washington Redskins,367,5437,5.5,3553,22,1884,15
San Diego Chargers,377,5546,5.8,3591,29,1955,8
Detroit Lions,387,5881,5.6,3831,26,2050,10
Denver Broncos,390,5725,5.4,3704,24,2021,11
New York Giants,400,6022,5.6,4082,28,1940,15
St. Louis Rams,407,5734,5.6,3301,21,2433,17
Carolina Panthers,429,6042,6.2,3949,28,2093,18
Indianapolis Colts,430,5935,5.6,3632,25,2303,19
Oakland Raiders,433,6201,5.8,4023,31,2178,15
Buffalo Bills,434,5938,5.9,3714,30,2224,19
Minnesota Vikings,449,5731,5.6,4019,34,1712,10
Tampa Bay Buccaneers,494,6311,6.3,3814,30,2497,26
