Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Kansas City Chiefs,467,6000,6.2,3622,27,2378,26
Oakland Raiders,450,6237,5.8,4475,26,1762,21
New Orleans Saints,432,5205,5.2,3441,27,1764,16
Philadelphia Eagles,415,5604,5.2,3384,27,2220,15
Atlanta Falcons,402,5535,5.3,3167,18,2368,23
Green Bay Packers,398,5560,5.3,3627,29,1933,12
Denver Broncos,392,6090,5.8,3824,21,2266,21
Pittsburgh Steelers,390,5952,5.4,3832,26,2120,15
Minnesota Vikings,390,6192,5.7,3685,19,2507,26
New England Patriots,381,5085,4.9,3577,28,1508,9
Buffalo Bills,379,5591,5.3,3995,24,1596,17
Miami Dolphins,378,5392,5.3,2890,18,2502,24
San Francisco 49ers,367,5701,5.3,3457,23,2244,16
Tennessee Titans,367,5272,5.1,3320,22,1952,16
New York Jets,359,5036,5.5,3418,25,1618,12
Seattle Seahawks,355,5818,5.5,4078,19,1740,17
Indianapolis Colts,349,5616,5.4,4055,27,1561,12
Tampa Bay Buccaneers,346,5002,4.9,3445,23,1557,6
Cleveland Browns,344,5027,5.1,3412,27,1615,10
San Diego Chargers,333,5325,5.2,3188,17,2137,19
Jacksonville Jaguars,328,4851,5.1,2762,18,2089,19
New York Giants,320,5826,5.5,3951,19,1875,14
Baltimore Ravens,316,4639,4.9,2847,20,1792,9
St. Louis Rams,316,5559,5.4,4154,24,1405,11
Washington Redskins,307,5143,4.9,3254,24,1889,10
Detroit Lions,306,4471,4.7,2994,19,1477,9
Chicago Bears,281,4395,4.5,3051,22,1344,8
Cincinnati Bengals,279,5206,4.9,3476,17,1730,13
Arizona Cardinals,262,4563,4.5,2740,18,1823,10
Carolina Panthers,258,4280,4.5,2694,15,1586,11
Dallas Cowboys,217,4375,4.6,2621,14,1754,7
Houston Texans,213,3572,3.8,2225,11,1347,6
