Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Pittsburgh Steelers,251,4134,4.7,2835,14,1299,8
Philadelphia Eagles,260,5115,4.9,3212,16,1903,13
New England Patriots,260,4972,5.0,3400,18,1572,9
New York Jets,261,4878,5.0,3312,21,1566,8
Washington Redskins,265,4281,4.4,2977,17,1304,7
Baltimore Ravens,268,4803,4.8,3122,14,1681,9
Jacksonville Jaguars,280,5134,5.3,3357,18,1777,7
Buffalo Bills,284,4228,4.3,2624,20,1604,6
Denver Broncos,304,4459,4.9,2947,17,1512,16
Tampa Bay Buccaneers,304,4552,4.7,2579,21,1973,8
San Diego Chargers,313,5360,5.4,4053,19,1307,15
Arizona Cardinals,322,5141,5.2,3036,18,2105,12
Chicago Bears,331,5390,5.2,3340,23,2050,9
Atlanta Falcons,337,5207,5.2,3526,19,1681,20
Carolina Panthers,339,5382,5.3,3478,18,1904,19
Houston Texans,339,5458,5.6,3615,32,1843,4
New York Giants,347,5187,5.2,3030,28,2157,13
Detroit Lions,350,5401,5.0,3514,29,1887,10
Indianapolis Colts,351,5929,5.7,3892,26,2037,12
Miami Dolphins,354,4894,4.9,2592,20,2302,12
Cincinnati Bengals,372,5365,5.2,3303,23,2062,11
Seattle Seahawks,373,5621,5.4,3590,24,2031,17
Green Bay Packers,380,5541,5.7,3663,33,1878,12
Cleveland Browns,390,5215,5.1,2901,17,2314,22
St. Louis Rams,392,5353,5.3,3174,24,2179,13
Minnesota Vikings,395,5902,5.8,3896,30,2006,15
New Orleans Saints,405,6141,5.8,3888,24,2253,16
Dallas Cowboys,405,5285,5.5,3521,31,1764,14
Kansas City Chiefs,435,6037,6.3,4203,32,1834,18
Tennessee Titans,439,5724,5.9,3807,29,1917,18
Oakland Raiders,442,5936,5.5,3924,30,2012,21
San Francisco 49ers,452,5481,5.4,3486,27,1995,22
