Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Pittsburgh Steelers,223,3795,3.9,2511,12,1284,7
Tennessee Titans,234,4698,4.6,3196,12,1502,12
Baltimore Ravens,244,4177,4.5,2875,17,1302,4
Philadelphia Eagles,289,4389,4.4,2913,19,1476,7
New York Giants,294,4672,5.0,3139,17,1533,14
Washington Redskins,296,4621,5.0,3095,16,1526,12
Indianapolis Colts,298,4975,5.1,3009,6,1966,18
New England Patriots,309,4944,5.4,3222,27,1722,8
Miami Dolphins,317,5264,5.4,3644,18,1620,11
Tampa Bay Buccaneers,323,4898,5.2,2997,23,1901,8
Atlanta Falcons,325,5566,5.6,3526,20,2040,17
Carolina Panthers,329,5299,5.2,3387,19,1912,14
Minnesota Vikings,333,4679,4.9,3449,15,1230,10
Buffalo Bills,342,5217,5.4,3271,14,1946,18
San Diego Chargers,347,5599,5.4,3958,25,1641,11
Chicago Bears,350,5355,4.9,3859,21,1496,16
Cleveland Browns,350,5704,5.7,3273,19,2431,16
New York Jets,356,5270,5.2,3752,23,1518,10
Cincinnati Bengals,364,5208,5.1,3287,23,1921,15
Dallas Cowboys,365,4709,4.9,3003,19,1706,11
Jacksonville Jaguars,367,5295,5.7,3586,25,1709,14
Green Bay Packers,380,5349,5.3,3244,22,2105,20
San Francisco 49ers,381,5216,5.1,3507,22,1709,14
Oakland Raiders,388,5775,5.5,3220,20,2555,23
Seattle Seahawks,392,6048,5.7,4149,25,1899,13
New Orleans Saints,393,5432,5.4,3547,21,1885,14
Houston Texans,394,5385,5.8,3423,24,1962,18
Arizona Cardinals,426,5304,5.3,3540,36,1764,13
Kansas City Chiefs,440,6291,6.0,3748,21,2543,25
Denver Broncos,448,5993,6.1,3656,20,2337,26
St. Louis Rams,465,5950,6.1,3475,20,2475,26
Detroit Lions,517,6470,6.4,3716,25,2754,31
