Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Indianapolis Colts,522,6475,6.7,4623,51,1852,10
Kansas City Chiefs,483,6695,6.1,4406,27,2289,31
San Diego Chargers,446,5542,5.6,3357,29,2185,24
New England Patriots,437,5722,5.5,3588,29,2134,15
Green Bay Packers,424,6357,6.0,4449,36,1908,9
Minnesota Vikings,405,6339,6.4,4516,39,1823,8
Buffalo Bills,395,4691,4.8,2817,21,1874,15
Philadelphia Eagles,386,5618,5.9,3979,32,1639,10
Denver Broncos,381,6332,5.9,3999,27,2333,13
Cincinnati Bengals,374,5140,5.1,3301,23,1839,14
Pittsburgh Steelers,372,5184,5.1,2720,20,2464,16
Seattle Seahawks,371,5634,5.4,3539,23,2095,17
Carolina Panthers,355,5225,5.3,3643,29,1582,10
New Orleans Saints,348,5193,5.3,3587,21,1606,15
Tennessee Titans,344,5487,5.2,3616,27,1871,12
Atlanta Falcons,340,5084,5.2,2412,15,2672,20
New York Jets,333,5438,5.5,3050,19,2388,15
Oakland Raiders,320,5153,5.5,3858,24,1295,10
St. Louis Rams,319,5877,5.8,4253,23,1624,11
Baltimore Ravens,317,4375,4.4,2312,13,2063,11
Houston Texans,309,5128,5.1,3246,16,1882,16
New York Giants,303,4722,5.0,2818,12,1904,18
Tampa Bay Buccaneers,301,4963,5.2,3474,24,1489,9
Detroit Lions,296,4693,4.9,2916,19,1777,7
Dallas Cowboys,293,5197,5.2,3428,19,1769,14
Arizona Cardinals,284,4550,4.3,2882,14,1668,15
Cleveland Browns,276,4481,4.9,2824,21,1657,6
Miami Dolphins,275,4404,4.3,3065,19,1339,10
Jacksonville Jaguars,261,5009,5.1,3159,17,1850,9
San Francisco 49ers,259,4585,4.5,3136,16,1449,10
Washington Redskins,240,4397,4.3,2632,18,1765,6
Chicago Bears,231,3816,3.9,2192,9,1624,10
