Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Baltimore Ravens,531,6521,6.1,3225,37,3296,21
San Francisco 49ers,479,6097,6.0,3792,28,2305,23
Tampa Bay Buccaneers,458,6366,5.9,4845,33,1521,15
New Orleans Saints,458,5982,5.9,4244,36,1738,12
Kansas City Chiefs,451,6067,6.2,4498,30,1569,16
Dallas Cowboys,434,6904,6.5,4751,30,2153,18
New England Patriots,420,5664,5.2,3961,25,1703,17
Minnesota Vikings,407,5656,5.8,3523,26,2133,19
Seattle Seahawks,405,5991,5.7,3791,31,2200,15
Tennessee Titans,402,5805,6.1,3582,29,2223,21
Los Angeles Rams,394,5998,5.7,4499,22,1499,20
Philadelphia Eagles,385,5772,5.2,3833,27,1939,16
Atlanta Falcons,381,6075,5.5,4714,29,1361,10
Houston Texans,378,5792,5.7,3783,27,2009,17
Green Bay Packers,376,5528,5.4,3733,26,1795,18
Arizona Cardinals,361,5467,5.5,3477,20,1990,18
Indianapolis Colts,361,5238,5.2,3108,22,2130,17
Detroit Lions,341,5549,5.4,3900,28,1649,7
New York Giants,341,5416,5.4,3731,30,1685,11
Carolina Panthers,340,5469,5.1,3650,17,1819,20
Los Angeles Chargers,337,5879,5.9,4426,24,1453,12
Cleveland Browns,335,5455,5.6,3554,22,1901,15
Buffalo Bills,314,5283,5.2,3229,21,2054,13
Oakland Raiders,313,5819,5.9,3926,22,1893,13
Miami Dolphins,306,4960,4.9,3804,22,1156,10
Jacksonville Jaguars,300,5468,5.4,3760,24,1708,3
Pittsburgh Steelers,289,4428,4.7,2981,18,1447,7
Denver Broncos,282,4777,5.0,3115,16,1662,11
Chicago Bears,280,4749,4.7,3291,20,1458,8
Cincinnati Bengals,279,5169,4.9,3652,18,1517,9
New York Jets,276,4368,4.6,3111,19,1257,6
Washington Redskins,266,4395,5.0,2812,18,1583,9
