Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Seattle Seahawks,277,4668,4.9,3364,14,1304,10
Cincinnati Bengals,279,5453,5.3,3976,18,1477,8
Kansas City Chiefs,287,5269,5.1,3698,25,1571,7
Denver Broncos,296,4530,4.4,3193,19,1337,10
Minnesota Vikings,302,5510,5.4,3762,24,1748,7
Carolina Panthers,308,5167,4.9,3752,21,1415,11
Arizona Cardinals,313,5147,5.2,3687,24,1460,9
Houston Texans,313,4963,5.0,3366,24,1597,10
New York Jets,314,5098,5.0,3763,25,1335,4
New England Patriots,315,5430,5.2,3852,24,1578,8
Pittsburgh Steelers,319,5809,5.5,4350,29,1459,6
Green Bay Packers,323,5547,5.5,3642,20,1905,13
St. Louis Rams,330,5885,5.4,4065,21,1820,7
Atlanta Falcons,345,5562,5.6,3882,19,1680,20
Buffalo Bills,359,5702,5.6,3972,30,1730,10
Dallas Cowboys,374,5567,5.6,3636,19,1931,16
Washington Redskins,379,6090,6.0,4128,30,1962,10
San Francisco 49ers,387,6199,5.7,4179,21,2020,20
Miami Dolphins,389,6019,5.6,4000,31,2019,13
Chicago Bears,397,5527,5.6,3593,31,1934,9
San Diego Chargers,398,5791,6.0,3786,22,2005,17
Oakland Raiders,399,5818,5.4,4140,25,1678,12
Detroit Lions,400,5597,5.6,3789,27,1808,18
Baltimore Ravens,401,5398,5.4,3737,30,1661,10
Indianapolis Colts,408,6066,5.7,4114,29,1952,14
Tampa Bay Buccaneers,417,5446,5.2,3840,31,1606,12
Tennessee Titans,423,5475,5.5,3678,34,1797,11
Philadelphia Eagles,430,6426,5.6,4273,36,2153,10
Cleveland Browns,432,6067,6.1,4012,34,2055,11
New York Giants,442,6725,6.1,4783,31,1942,15
Jacksonville Jaguars,448,6000,5.4,4291,29,1709,15
New Orleans Saints,476,6615,6.6,4544,45,2071,12
