Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Baltimore Ravens,201,4225,4.5,3011,16,1214,5
New England Patriots,237,4710,5.0,3203,10,1507,11
Chicago Bears,255,4706,4.6,3116,18,1590,7
Jacksonville Jaguars,274,4538,4.6,3078,12,1460,14
Miami Dolphins,283,4625,4.6,3007,22,1618,7
New York Jets,295,5306,5.2,3222,19,2084,14
San Diego Chargers,303,4825,4.9,3212,19,1613,13
Carolina Panthers,305,4737,4.8,3000,22,1737,10
Denver Broncos,305,5220,5.1,3407,13,1813,13
Buffalo Bills,311,5273,5.1,3019,18,2254,14
Pittsburgh Steelers,315,4805,4.9,3393,21,1412,9
Kansas City Chiefs,315,5262,5.3,3334,18,1928,14
New Orleans Saints,322,4917,5.3,2854,26,2063,10
Minnesota Vikings,327,4803,4.9,3818,15,985,9
Atlanta Falcons,328,5325,5.4,3668,20,1657,14
Philadelphia Eagles,328,5249,5.0,3067,17,2182,12
Cincinnati Bengals,331,5681,5.5,3818,24,1863,15
Oakland Raiders,332,4557,4.6,2413,17,2144,15
Seattle Seahawks,341,5285,5.4,3256,23,2029,12
Dallas Cowboys,350,5165,5.3,3506,25,1659,12
Tampa Bay Buccaneers,353,5271,5.2,3354,26,1917,11
Cleveland Browns,356,5515,5.3,3242,20,2273,14
Indianapolis Colts,360,5316,5.5,2548,16,2768,20
New York Giants,362,5479,5.2,3649,21,1830,19
Green Bay Packers,366,5134,5.1,3309,25,1825,12
Houston Texans,366,5400,5.5,3444,22,1956,16
Washington Redskins,376,5688,5.7,3491,30,2197,9
St. Louis Rams,381,5362,5.6,3035,21,2327,21
Arizona Cardinals,389,5591,5.5,3694,21,1897,16
Detroit Lions,398,5530,5.4,3520,22,2010,18
Tennessee Titans,400,5915,5.6,3602,24,2313,20
San Francisco 49ers,412,5507,5.4,3571,25,1936,18
