Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
New England Patriots,225,4414,4.7,2886,13,1528,7
Buffalo Bills,259,4772,4.8,3123,15,1649,12
Baltimore Ravens,282,4809,5.2,3315,15,1494,12
Chicago Bears,298,5186,5.1,3554,17,1632,16
Minnesota Vikings,303,5465,5.2,3737,23,1728,8
Pittsburgh Steelers,303,4866,4.7,3113,23,1753,7
Kansas City Chiefs,308,5594,5.4,3543,21,2051,14
San Francisco 49ers,310,4509,4.7,2707,23,1802,11
Green Bay Packers,313,5642,5.7,3721,19,1921,15
Denver Broncos,316,5392,5.4,3609,19,1783,9
Dallas Cowboys,321,5232,5.2,3576,21,1656,14
Tennessee Titans,331,5752,5.4,4080,25,1672,14
New Orleans Saints,341,5329,5.3,3868,27,1461,12
Los Angeles Chargers,345,5009,5.4,3204,21,1805,15
Philadelphia Eagles,354,5307,5.5,3865,27,1442,13
New York Jets,359,5170,5.0,3779,25,1391,12
Los Angeles Rams,364,5434,5.1,3625,23,1809,15
Indianapolis Colts,373,5549,5.6,3982,29,1567,8
Houston Texans,385,6213,6.1,4276,33,1937,12
Cleveland Browns,393,5785,5.7,3470,25,2315,19
Jacksonville Jaguars,397,6007,6.0,3778,22,2229,23
Seattle Seahawks,398,6106,6.0,4223,19,1883,22
Atlanta Falcons,399,5693,5.8,3918,28,1775,13
Oakland Raiders,419,5677,5.9,4107,33,1570,15
Cincinnati Bengals,420,6299,6.1,3917,25,2382,17
Detroit Lions,423,6406,5.9,4551,33,1855,13
Washington Redskins,435,6162,5.7,3823,35,2339,14
Arizona Cardinals,442,6432,6.0,4510,38,1922,9
Tampa Bay Buccaneers,449,5503,5.1,4322,30,1181,11
New York Giants,451,6037,5.7,4225,30,1812,19
Carolina Panthers,470,5992,5.8,3696,21,2296,31
Miami Dolphins,494,6364,6.0,4198,39,2166,15
