Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
New Orleans Saints,463,6571,6.3,4977,34,1594,20
San Diego Chargers,439,5584,6.0,3858,34,1726,13
New York Giants,427,5695,5.6,3177,23,2518,19
Arizona Cardinals,427,5852,5.9,4674,31,1178,14
Green Bay Packers,419,5618,5.6,3813,28,1805,11
Philadelphia Eagles,416,5608,5.3,3911,23,1697,15
Carolina Panthers,414,5595,6.0,3158,15,2437,30
New England Patriots,410,5847,5.3,3569,21,2278,21
New York Jets,405,5307,5.4,3303,22,2004,20
Atlanta Falcons,391,5779,5.7,3336,16,2443,23
Baltimore Ravens,385,5184,4.9,2808,16,2376,20
Minnesota Vikings,379,5288,5.2,2956,22,2332,15
Indianapolis Colts,377,5368,5.5,4094,27,1274,13
Chicago Bears,375,4734,4.8,3061,20,1673,15
Tennessee Titans,375,5018,5.2,2819,13,2199,24
Denver Broncos,370,6333,6.2,4471,25,1862,15
Houston Texans,366,6113,6.0,4267,21,1846,16
Dallas Cowboys,362,5512,5.6,3789,29,1723,12
Tampa Bay Buccaneers,361,5456,5.2,3619,18,1837,13
Pittsburgh Steelers,347,4991,4.9,3301,19,1690,16
Miami Dolphins,345,5529,5.7,3632,20,1897,18
San Francisco 49ers,339,4978,5.2,3379,21,1599,10
Buffalo Bills,336,4882,5.1,3040,14,1842,16
Jacksonville Jaguars,302,5106,5.1,3332,15,1774,17
Seattle Seahawks,294,4385,4.7,2617,18,1768,10
Kansas City Chiefs,291,4939,5.2,3129,23,1810,9
Detroit Lions,268,4292,4.7,2960,18,1332,10
Washington Redskins,265,5120,5.0,3025,14,2095,12
Oakland Raiders,263,4356,4.7,2369,13,1987,9
St. Louis Rams,232,4596,4.7,2947,11,1649,8
Cleveland Browns,232,3985,4.3,2380,11,1605,6
Cincinnati Bengals,204,3926,4.0,2406,11,1520,6
