Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Kansas City Chiefs,484,5910,5.9,3981,24,1929,32
St. Louis Rams,447,5457,5.2,3961,23,1496,19
Indianapolis Colts,447,5874,5.6,4179,29,1695,16
Green Bay Packers,442,5798,5.8,3240,32,2558,18
Tennessee Titans,435,5501,5.4,3878,30,1623,11
Minnesota Vikings,416,6294,6.0,3951,32,2343,15
Seattle Seahawks,404,5627,5.5,3618,27,2009,17
Baltimore Ravens,391,4929,4.9,2255,16,2674,18
San Francisco 49ers,384,5687,5.5,3408,25,2279,16
Denver Broncos,381,5598,5.3,2969,19,2629,20
Philadelphia Eagles,374,5035,5.3,3020,17,2015,23
New England Patriots,348,5039,4.8,3432,23,1607,9
Cincinnati Bengals,346,5329,5.1,3342,26,1987,12
New Orleans Saints,340,5438,5.3,3438,25,2000,11
Carolina Panthers,325,5141,5.1,3050,19,2091,9
San Diego Chargers,313,5167,5.3,3021,21,2146,16
Miami Dolphins,311,4609,4.8,2792,17,1817,14
Tampa Bay Buccaneers,301,5453,5.3,3805,27,1648,5
Pittsburgh Steelers,300,4792,4.7,3304,19,1488,10
Atlanta Falcons,299,4357,4.7,2408,14,1949,17
Dallas Cowboys,289,5161,4.9,3162,17,1999,11
Washington Redskins,287,4659,4.7,3006,21,1653,8
New York Jets,283,4951,5.3,3316,20,1635,8
Chicago Bears,283,4380,4.4,2617,12,1763,13
Jacksonville Jaguars,276,5358,5.2,3285,17,2073,13
Oakland Raiders,270,4573,4.6,2751,9,1822,15
Detroit Lions,270,4262,4.4,2924,17,1338,5
Houston Texans,255,4306,4.8,2655,14,1651,14
Cleveland Browns,254,4504,4.7,2834,17,1670,8
New York Giants,243,4942,4.7,3383,16,1559,6
Buffalo Bills,243,4348,4.4,2684,11,1664,13
Arizona Cardinals,225,4490,4.6,2959,18,1531,5
