Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Chicago Bears,283,4795,4.8,3515,22,1280,5
Baltimore Ravens,287,4687,4.8,3360,21,1327,11
Tennessee Titans,303,5334,5.3,3471,21,1863,9
Houston Texans,316,5490,5.4,4167,28,1323,8
Jacksonville Jaguars,316,4983,5.1,3113,17,1870,16
Dallas Cowboys,324,5268,5.4,3755,22,1513,12
New England Patriots,325,5746,5.7,3943,29,1803,7
Los Angeles Chargers,329,5339,5.4,3646,23,1693,11
Minnesota Vikings,341,4955,5.0,3140,15,1815,13
Indianapolis Colts,344,5435,5.5,3805,21,1630,12
Seattle Seahawks,347,5653,5.9,3842,26,1811,9
Philadelphia Eagles,348,5859,5.8,4308,22,1551,14
Denver Broncos,349,5842,5.7,3929,26,1913,11
New Orleans Saints,353,5585,5.7,4302,30,1283,12
Washington Redskins,359,5654,5.7,3794,27,1860,12
Detroit Lions,360,5360,5.7,3599,29,1761,11
Pittsburgh Steelers,360,5235,5.3,3697,27,1538,13
Buffalo Bills,374,4706,4.9,2867,22,1839,17
Carolina Panthers,382,5651,6.0,3847,32,1804,13
Los Angeles Rams,384,5737,6.0,3780,31,1957,12
Cleveland Browns,392,6288,5.6,4125,21,2163,20
Green Bay Packers,400,5670,5.6,3752,30,1918,15
New York Giants,412,5942,5.7,4044,24,1898,18
Kansas City Chiefs,421,6488,5.9,4374,30,2114,19
Atlanta Falcons,423,6152,6.0,4153,33,1999,16
Arizona Cardinals,425,5741,5.4,3262,21,2479,25
Miami Dolphins,433,6257,6.1,3932,31,2325,17
San Francisco 49ers,435,5546,5.4,3732,35,1814,13
New York Jets,441,6086,5.7,4065,29,2021,16
Cincinnati Bengals,455,6618,6.1,4414,32,2204,17
Tampa Bay Buccaneers,464,6134,6.1,4151,34,1983,19
Oakland Raiders,467,6102,6.3,3853,36,2249,16
