Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Atlanta Falcons,540,6653,6.7,4725,38,1928,20
New Orleans Saints,469,6816,6.2,5074,38,1742,17
New England Patriots,441,6180,5.9,4308,32,1872,19
Green Bay Packers,432,5900,5.7,4199,40,1701,11
Dallas Cowboys,421,6027,6.0,3631,25,2396,24
Arizona Cardinals,418,5868,5.4,4136,28,1732,20
Oakland Raiders,416,5973,5.7,4051,29,1922,17
Indianapolis Colts,411,5830,5.6,4202,32,1628,13
San Diego Chargers,410,5708,5.6,4198,33,1510,10
Buffalo Bills,399,5666,5.6,3036,17,2630,29
Pittsburgh Steelers,399,5962,5.8,4202,33,1760,13
Washington Redskins,396,6454,6.4,4758,25,1696,17
Kansas City Chiefs,389,5488,5.5,3740,19,1748,15
Tennessee Titans,381,5728,5.7,3541,29,2187,16
Carolina Panthers,369,5499,5.2,3685,21,1814,16
Philadelphia Eagles,367,5398,5.0,3585,16,1813,16
Miami Dolphins,363,5324,5.8,3500,27,1824,14
Seattle Seahawks,354,5715,5.6,4124,23,1591,13
Tampa Bay Buccaneers,354,5542,5.2,3926,29,1616,8
Detroit Lions,346,5421,5.5,4111,24,1310,9
Baltimore Ravens,343,5563,5.2,4100,20,1463,10
Denver Broncos,333,5169,5.1,3685,20,1484,11
Minnesota Vikings,327,5041,5.0,3836,20,1205,9
Cincinnati Bengals,325,5711,5.4,3942,18,1769,17
Jacksonville Jaguars,318,5359,5.1,3728,24,1631,8
New York Giants,310,5291,5.2,3879,26,1412,6
San Francisco 49ers,309,4930,4.9,2911,21,2019,15
Houston Texans,279,5035,4.7,3176,15,1859,8
Chicago Bears,279,5704,5.9,3969,19,1735,10
New York Jets,275,5268,5.3,3466,16,1802,10
Cleveland Browns,264,4976,5.1,3264,15,1712,13
Los Angeles Rams,224,4203,4.4,2951,14,1252,9
