Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Indianapolis Colts,262,4475,4.6,2764,16,1711,10
Pittsburgh Steelers,269,4262,4.6,2824,22,1438,6
Tampa Bay Buccaneers,270,4451,4.6,2725,18,1726,11
New England Patriots,274,4613,4.9,3041,23,1572,7
San Diego Chargers,284,5124,5.1,3412,20,1712,11
Seattle Seahawks,291,5149,5.0,3505,15,1644,16
Green Bay Packers,291,5013,5.0,3366,23,1647,6
Tennessee Titans,297,4665,4.8,3187,21,1478,11
Philadelphia Eagles,300,4982,5.1,3449,16,1533,10
Jacksonville Jaguars,304,5021,5.2,3416,20,1605,12
Washington Redskins,310,4884,4.8,3424,20,1460,10
Minnesota Vikings,311,5410,5.1,4225,22,1185,7
Dallas Cowboys,325,4922,4.9,3409,19,1513,12
Kansas City Chiefs,335,5111,5.2,3022,17,2089,11
Carolina Panthers,347,5197,5.0,3426,22,1771,13
Chicago Bears,348,5675,5.5,3708,19,1967,17
New York Giants,351,4880,5.0,3317,24,1563,12
Buffalo Bills,354,5807,5.5,3814,19,1993,15
New York Jets,355,5310,5.2,3154,18,2156,14
San Francisco 49ers,364,5539,5.1,3643,24,1896,9
Cleveland Browns,382,5753,5.4,3681,29,2072,8
Houston Texans,384,5507,5.5,3682,25,1825,15
Baltimore Ravens,384,4825,5.0,3557,27,1268,9
Cincinnati Bengals,385,5580,5.5,3687,29,1893,11
New Orleans Saints,388,5570,5.8,3924,32,1646,7
Oakland Raiders,398,5466,5.7,3132,17,2334,24
Arizona Cardinals,399,5283,5.2,3716,26,1567,13
Denver Broncos,409,5376,5.4,3094,25,2282,14
Atlanta Falcons,414,5688,5.5,3655,27,2033,12
Miami Dolphins,437,5475,5.6,3019,28,2456,18
St. Louis Rams,438,5457,5.5,3613,25,1844,16
Detroit Lions,444,6042,5.6,4131,32,1911,19
