Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Los Angeles Rams,478,5784,5.8,3831,28,1953,17
New England Patriots,458,6307,5.9,4418,32,1889,16
Philadelphia Eagles,457,5852,5.5,3737,38,2115,9
New Orleans Saints,448,6259,6.3,4189,23,2070,23
Jacksonville Jaguars,417,5855,5.4,3593,21,2262,18
Kansas City Chiefs,415,6007,6.1,4104,26,1903,12
Detroit Lions,410,5404,5.5,4183,29,1221,10
Pittsburgh Steelers,406,6047,5.8,4380,29,1667,12
Baltimore Ravens,395,4886,4.6,3030,20,1856,14
Minnesota Vikings,382,5710,5.4,3753,25,1957,15
Seattle Seahawks,366,5286,5.2,3657,34,1629,4
Carolina Panthers,363,5179,5.0,3077,22,2102,15
Los Angeles Chargers,355,6026,5.9,4431,28,1595,10
Dallas Cowboys,354,5311,5.3,3141,22,2170,18
Atlanta Falcons,353,5837,5.9,3990,21,1847,12
Washington Redskins,342,5199,5.3,3751,27,1448,10
Houston Texans,338,5120,5.0,3278,28,1842,8
Tampa Bay Buccaneers,335,5814,5.6,4366,26,1448,8
Tennessee Titans,334,5024,5.2,3191,14,1833,18
San Francisco 49ers,331,5587,5.3,3925,15,1662,15
Green Bay Packers,320,4891,4.9,3167,25,1724,13
Buffalo Bills,302,4842,4.8,2825,16,2017,12
Oakland Raiders,301,5185,5.4,3631,23,1554,13
New York Jets,298,4884,5.0,3182,19,1702,13
Arizona Cardinals,295,5026,4.7,3640,21,1386,6
Cincinnati Bengals,290,4488,4.8,3122,25,1366,6
Denver Broncos,289,5185,4.8,3333,19,1852,8
Miami Dolphins,281,4923,4.9,3535,24,1388,4
Chicago Bears,264,4599,4.9,2811,13,1788,13
Indianapolis Colts,263,4553,4.6,2892,13,1661,11
New York Giants,246,5028,4.9,3479,20,1549,6
Cleveland Browns,234,4942,4.9,3228,15,1714,11
