Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Minnesota Vikings,252,4415,4.6,3078,13,1337,10
Jacksonville Jaguars,268,4578,4.6,2718,17,1860,9
Los Angeles Chargers,272,5254,5.3,3156,17,2098,11
Philadelphia Eagles,295,4904,5.0,3637,24,1267,7
New England Patriots,296,5856,5.7,4020,24,1836,6
Baltimore Ravens,303,5201,5.0,3421,18,1780,12
Pittsburgh Steelers,308,4910,5.2,3217,20,1693,14
Atlanta Falcons,315,5094,5.1,3429,22,1665,9
Chicago Bears,320,5106,5.1,3376,18,1730,10
New Orleans Saints,326,5384,5.4,3597,22,1787,11
Carolina Panthers,327,5074,5.3,3665,25,1409,7
Los Angeles Rams,329,5432,5.3,3475,21,1957,15
Dallas Cowboys,332,5089,5.1,3425,28,1664,7
Seattle Seahawks,332,5171,4.9,3347,19,1824,14
Kansas City Chiefs,339,5842,5.6,3952,23,1890,15
Cincinnati Bengals,349,5425,5.0,3379,20,2046,13
Tennessee Titans,356,5248,5.0,3828,27,1420,5
Buffalo Bills,359,5682,5.3,3688,14,1994,22
Arizona Cardinals,361,4973,4.9,3541,24,1432,12
Oakland Raiders,373,5601,5.6,3858,24,1743,11
Detroit Lions,376,5692,5.5,3892,21,1800,18
New York Jets,382,5636,5.4,3749,30,1887,13
Denver Broncos,382,4640,4.9,3210,29,1430,9
Tampa Bay Buccaneers,382,6049,6.0,4169,22,1880,17
San Francisco 49ers,383,5625,5.3,3764,27,1861,13
Green Bay Packers,384,5582,5.5,3789,30,1793,10
New York Giants,388,5971,5.7,4038,32,1933,10
Washington Redskins,388,5566,5.3,3420,23,2146,13
Miami Dolphins,393,5371,5.4,3603,26,1768,14
Indianapolis Colts,404,5873,5.7,3946,23,1927,15
Cleveland Browns,410,5250,5.1,3684,28,1566,14
Houston Texans,436,5546,5.7,3799,30,1747,14
