Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Green Bay Packers,560,6482,6.6,4924,51,1558,12
New Orleans Saints,547,7474,6.7,5347,46,2127,16
New England Patriots,513,6848,6.3,5084,39,1764,18
Detroit Lions,474,6337,6.0,4814,41,1523,9
Carolina Panthers,406,6237,6.2,3829,21,2408,26
San Diego Chargers,406,6290,6.0,4426,27,1864,16
Atlanta Falcons,402,6026,5.6,4192,29,1834,14
Philadelphia Eagles,396,6386,6.2,4110,22,2276,20
New York Giants,394,6161,6.0,4734,29,1427,17
Houston Texans,381,5954,5.7,3506,20,2448,18
San Francisco 49ers,380,4974,5.0,2930,18,2044,14
Baltimore Ravens,378,5419,5.2,3423,21,1996,15
New York Jets,377,4989,4.8,3297,26,1692,14
Buffalo Bills,372,5624,5.7,3703,24,1921,12
Dallas Cowboys,369,6008,5.9,4201,33,1807,5
Oakland Raiders,359,6072,6.0,3962,20,2110,16
Chicago Bears,353,5026,5.1,3011,18,2015,10
Cincinnati Bengals,344,5118,5.0,3340,21,1778,10
Minnesota Vikings,340,5275,5.2,2957,20,2318,18
Miami Dolphins,329,5078,5.1,3091,20,1987,11
Tennessee Titans,325,5361,5.4,3923,22,1438,8
Pittsburgh Steelers,325,5957,5.9,4054,21,1903,13
Seattle Seahawks,321,4861,4.8,3105,15,1756,15
Arizona Cardinals,312,5192,5.2,3567,21,1625,12
Denver Broncos,309,5066,5.0,2434,20,2632,11
Washington Redskins,288,5387,5.2,3773,19,1614,8
Tampa Bay Buccaneers,287,5108,5.3,3650,17,1458,9
Jacksonville Jaguars,243,4149,4.1,2179,12,1970,9
Indianapolis Colts,243,4589,4.8,2995,14,1594,8
Cleveland Browns,218,4621,4.5,3090,16,1531,4
Kansas City Chiefs,212,4973,4.9,3080,13,1893,5
St. Louis Rams,193,4537,4.5,2870,9,1667,7
