Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
New England Patriots,518,5820,5.9,3847,37,1973,19
San Diego Chargers,441,6329,6.1,4519,30,1810,18
Philadelphia Eagles,439,6230,6.0,3906,28,2324,18
Indianapolis Colts,435,6092,5.6,4609,33,1483,13
Atlanta Falcons,414,5458,5.0,3567,28,1891,14
Oakland Raiders,410,5674,5.5,3180,18,2494,19
Dallas Cowboys,394,5828,5.6,4042,29,1786,10
New York Giants,394,6085,5.9,3885,31,2200,17
Houston Texans,390,6186,6.0,4144,24,2042,20
Green Bay Packers,388,5730,5.7,4124,31,1606,11
New Orleans Saints,384,5960,5.6,4441,33,1519,9
Pittsburgh Steelers,375,5525,5.6,3601,22,1924,15
New York Jets,367,5616,5.2,3242,20,2374,14
Kansas City Chiefs,366,5595,5.3,2968,27,2627,13
Detroit Lions,362,5423,5.1,3810,26,1613,11
Baltimore Ravens,357,5166,5.1,3335,25,1831,11
Tennessee Titans,356,4834,5.3,3107,24,1727,13
Jacksonville Jaguars,353,5460,5.4,3065,26,2395,14
Denver Broncos,344,5582,5.5,4038,25,1544,13
Tampa Bay Buccaneers,341,5362,5.6,3361,26,2001,9
Chicago Bears,334,4631,4.9,3015,23,1616,10
Cincinnati Bengals,322,5289,5.1,3767,26,1522,8
Seattle Seahawks,310,4765,4.9,3341,14,1424,13
San Francisco 49ers,305,5013,5.3,3356,19,1657,10
Washington Redskins,302,5392,5.4,3931,21,1461,9
St. Louis Rams,289,4846,4.6,3268,18,1578,9
Arizona Cardinals,289,4309,4.6,2921,10,1388,9
Buffalo Bills,283,4878,5.1,3158,24,1720,6
Minnesota Vikings,281,5039,5.1,3097,14,1942,16
Miami Dolphins,273,5170,5.0,3527,17,1643,8
Cleveland Browns,271,4635,5.0,2989,13,1646,13
Carolina Panthers,196,4135,4.3,2289,9,1846,7
