Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Green Bay Packers,509,6224,6.3,4106,48,2118,16
Buffalo Bills,501,6343,6.1,4620,40,1723,16
Tampa Bay Buccaneers,492,6145,6.0,4626,42,1519,16
Tennessee Titans,491,6343,6.2,3653,33,2690,26
New Orleans Saints,482,6023,5.8,3758,28,2265,30
Kansas City Chiefs,473,6653,6.3,4854,40,1799,13
Baltimore Ravens,468,5810,5.9,2739,27,3071,24
Seattle Seahawks,459,5912,5.8,3941,40,1971,15
Indianapolis Colts,451,6049,5.9,4053,24,1996,20
Las Vegas Raiders,434,6133,5.9,4217,28,1916,20
Minnesota Vikings,430,6292,6.2,4009,35,2283,20
Pittsburgh Steelers,416,5354,5.1,4003,35,1351,12
Arizona Cardinals,410,6153,5.7,3916,27,2237,22
Cleveland Browns,408,5913,5.8,3539,27,2374,21
Miami Dolphins,404,5424,5.3,3736,24,1688,15
Atlanta Falcons,396,5895,5.5,4363,27,1532,13
Dallas Cowboys,395,5949,5.3,4161,25,1788,14
Houston Texans,384,6004,6.4,4538,33,1466,10
Los Angeles Chargers,384,6113,5.4,4329,31,1784,12
Detroit Lions,377,5603,5.7,4104,27,1499,17
San Francisco 49ers,376,5922,5.7,4033,25,1889,19
Los Angeles Rams,372,6032,5.5,4014,20,2018,19
Chicago Bears,372,5302,5.1,3655,26,1647,12
Carolina Panthers,350,5592,5.6,3888,16,1704,19
Washington Football Team,335,5076,4.8,3465,16,1611,18
Philadelphia Eagles,334,5354,5.0,3327,22,2027,16
New England Patriots,326,5236,5.3,2890,12,2346,20
Denver Broncos,323,5369,5.2,3451,21,1918,13
Cincinnati Bengals,311,5116,4.9,3448,19,1668,13
Jacksonville Jaguars,306,5218,5.2,3699,25,1519,9
New York Giants,280,4794,5.0,3026,12,1768,13
New York Jets,243,4479,4.7,2796,16,1683,9
