Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Kansas City Chiefs,565,6810,6.8,4955,50,1855,16
Los Angeles Rams,527,6738,6.4,4507,32,2231,23
New Orleans Saints,504,6067,6.0,4042,33,2025,26
New England Patriots,436,6295,5.9,4258,29,2037,18
Indianapolis Colts,433,6179,5.8,4461,39,1718,13
Seattle Seahawks,428,5653,5.6,3093,35,2560,15
Los Angeles Chargers,428,5962,6.3,4089,32,1873,16
Pittsburgh Steelers,428,6453,6.1,5008,35,1445,16
Chicago Bears,421,5502,5.4,3564,28,1938,16
Atlanta Falcons,414,6226,6.2,4653,36,1573,11
Houston Texans,402,5802,5.6,3781,26,2021,12
Tampa Bay Buccaneers,396,6648,6.3,5125,36,1523,11
Baltimore Ravens,389,5999,5.3,3558,18,2441,19
Green Bay Packers,376,5905,5.8,4238,25,1667,14
Carolina Panthers,376,5972,5.9,3836,28,2136,17
New York Giants,369,5697,5.8,4047,23,1650,13
Cincinnati Bengals,368,4972,5.3,3290,27,1682,13
Philadelphia Eagles,367,5845,5.6,4275,29,1570,12
Minnesota Vikings,360,5529,5.5,4036,30,1493,9
Cleveland Browns,359,5900,5.8,4007,29,1893,15
San Francisco 49ers,342,5769,5.8,3867,26,1902,7
Dallas Cowboys,339,5501,5.4,3538,22,1963,13
New York Jets,333,4787,4.9,3165,18,1622,11
Denver Broncos,329,5602,5.5,3695,19,1907,18
Detroit Lions,324,5236,5.1,3576,22,1660,11
Miami Dolphins,319,4638,5.3,2900,26,1738,7
Tennessee Titans,310,5002,5.3,2975,16,2027,15
Oakland Raiders,290,5379,5.4,3751,19,1628,9
Washington Redskins,281,4795,5.0,3021,16,1774,12
Buffalo Bills,269,4778,4.7,2794,13,1984,15
Jacksonville Jaguars,245,4832,4.8,3109,15,1723,7
Arizona Cardinals,225,3865,4.3,2523,15,1342,9
