Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
San Diego Chargers,492,5840,5.7,3262,24,2578,32
Chicago Bears,427,5199,5.0,3281,24,1918,14
Indianapolis Colts,427,6070,6.0,4308,31,1762,17
Dallas Cowboys,425,5772,5.7,3836,26,1936,21
New Orleans Saints,413,6264,5.8,4503,27,1761,19
Philadelphia Eagles,398,6103,6.2,4119,31,1984,13
New England Patriots,385,5369,5.1,3400,25,1969,20
Cincinnati Bengals,373,5462,5.5,3833,28,1629,14
Jacksonville Jaguars,371,5423,5.5,2882,17,2541,23
St. Louis Rams,367,5767,5.4,3962,24,1805,13
New York Giants,355,5214,5.2,3058,24,2156,14
Baltimore Ravens,353,5072,5.0,3435,21,1637,11
Pittsburgh Steelers,353,5725,5.5,3733,23,1992,16
Seattle Seahawks,335,4977,4.8,3054,26,1923,8
Kansas City Chiefs,331,5143,5.1,3000,18,2143,17
Tennessee Titans,324,4810,5.1,2596,13,2214,15
Denver Broncos,319,4951,5.1,2799,20,2152,12
New York Jets,316,4891,4.8,3153,17,1738,15
Arizona Cardinals,314,5000,5.0,3662,17,1338,12
Washington Redskins,307,5243,5.4,3027,19,2216,13
Detroit Lions,305,4949,5.1,3820,21,1129,9
Green Bay Packers,301,5458,5.0,3795,18,1663,9
Buffalo Bills,300,4271,4.8,2719,19,1552,9
San Francisco 49ers,298,4857,5.3,2685,16,2172,12
Atlanta Falcons,292,5310,5.3,2371,21,2939,9
Minnesota Vikings,282,4943,4.8,3123,13,1820,12
Carolina Panthers,270,4923,5.0,3264,19,1659,7
Houston Texans,267,4463,4.7,2778,14,1685,13
Miami Dolphins,260,4960,4.8,3287,16,1673,7
Cleveland Browns,238,4233,4.5,2898,15,1335,7
Tampa Bay Buccaneers,211,4321,4.4,2798,14,1523,6
Oakland Raiders,168,3939,4.2,2420,7,1519,5
