Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Pittsburgh Steelers,232,4429,4.5,3425,15,1004,5
Green Bay Packers,240,4945,5.1,3107,16,1838,6
Baltimore Ravens,270,5102,5.1,3599,22,1503,5
Chicago Bears,286,5029,5.0,3588,14,1441,14
Atlanta Falcons,288,5319,5.6,3625,23,1694,9
New York Jets,304,4664,4.8,3210,24,1454,11
New Orleans Saints,307,4900,5.2,3103,13,1797,13
New England Patriots,313,5864,5.6,4136,25,1728,10
Tampa Bay Buccaneers,318,5323,5.4,3216,23,2107,12
San Diego Chargers,322,4345,4.6,2845,18,1500,14
Kansas City Chiefs,326,5283,5.1,3519,23,1764,11
St. Louis Rams,328,5388,5.3,3578,21,1810,7
Cleveland Browns,332,5601,5.4,3531,26,2070,7
Miami Dolphins,333,4949,5.0,3348,22,1601,8
Tennessee Titans,339,5883,5.2,4032,23,1851,7
San Francisco 49ers,346,5244,5.1,3697,25,1547,9
New York Giants,347,4990,5.1,3370,24,1620,11
Minnesota Vikings,348,5002,5.1,3367,25,1635,10
Detroit Lions,369,5497,5.5,3498,23,1999,18
Oakland Raiders,371,5165,5.2,3027,29,2138,14
Philadelphia Eagles,377,5235,5.2,3469,31,1766,12
Washington Redskins,377,6228,5.9,4187,23,2041,15
Indianapolis Colts,388,5465,5.4,3433,22,2032,14
Cincinnati Bengals,395,5312,5.6,3469,21,1843,15
Seattle Seahawks,407,5897,5.5,3994,31,1903,13
Carolina Panthers,408,5374,5.1,3393,19,1981,20
Jacksonville Jaguars,419,5949,6.3,4004,28,1945,19
Buffalo Bills,425,5786,5.4,3072,28,2714,18
Houston Texans,427,6031,6.0,4280,33,1751,16
Arizona Cardinals,434,5977,5.5,3654,22,2323,19
Dallas Cowboys,436,5628,5.8,3894,33,1734,11
Denver Broncos,471,6253,5.9,3780,26,2473,26
