Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
New England Patriots,589,6580,6.2,4731,50,1849,17
Dallas Cowboys,455,5851,6.0,4105,36,1746,14
Indianapolis Colts,450,5739,5.6,4033,32,1706,19
Green Bay Packers,435,5931,6.0,4334,30,1597,13
San Diego Chargers,412,5044,5.1,3005,22,2039,19
Jacksonville Jaguars,411,5719,5.6,3328,28,2391,18
Arizona Cardinals,404,5505,5.4,4065,32,1440,9
Cleveland Browns,402,5621,5.6,3726,29,1895,13
Pittsburgh Steelers,393,5239,5.2,3071,34,2168,9
Seattle Seahawks,393,5583,5.3,3964,30,1619,9
Cincinnati Bengals,380,5568,5.5,4012,26,1556,10
Houston Texans,379,5337,5.5,3751,24,1586,12
New Orleans Saints,379,5780,5.5,4314,28,1466,14
New York Giants,373,5302,5.1,3154,23,2148,15
Minnesota Vikings,365,5379,5.6,2745,12,2634,22
Detroit Lions,346,5166,5.4,3878,19,1288,13
Philadelphia Eagles,336,5729,5.5,3755,24,1974,12
Washington Redskins,334,5334,5.1,3463,18,1871,15
Tampa Bay Buccaneers,334,5229,5.4,3357,18,1872,15
Chicago Bears,334,4692,4.5,3362,18,1330,8
Denver Broncos,320,5541,5.7,3584,21,1957,10
Tennessee Titans,301,4987,4.8,2878,9,2109,17
Oakland Raiders,283,4717,4.7,2631,17,2086,11
Baltimore Ravens,275,4832,4.6,3035,13,1797,11
New York Jets,268,4715,4.7,3014,15,1701,6
Miami Dolphins,267,4600,4.7,3031,12,1569,14
Carolina Panthers,267,4559,4.6,2735,19,1824,7
St. Louis Rams,263,4760,4.6,3233,19,1527,5
Atlanta Falcons,259,4813,4.9,3293,18,1520,7
Buffalo Bills,252,4434,4.8,2634,12,1800,8
Kansas City Chiefs,226,4429,4.4,3181,17,1248,6
San Francisco 49ers,219,3797,4.1,2320,15,1477,8
