Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
New England Patriots,238,4666,4.4,3232,11,1434,10
Dallas Cowboys,260,4056,4.3,2631,18,1425,7
Miami Dolphins,261,4787,4.7,3335,12,1452,11
Tampa Bay Buccaneers,264,4466,4.6,2710,16,1756,6
Buffalo Bills,279,4313,4.3,2707,18,1606,11
Baltimore Ravens,281,4341,4.2,2805,19,1536,6
Philadelphia Eagles,287,5307,5.0,3236,17,2071,13
New York Jets,299,5319,5.2,3025,14,2294,17
Denver Broncos,301,4433,4.9,2828,17,1605,11
Carolina Panthers,304,4725,4.7,3003,19,1722,10
Green Bay Packers,307,5101,4.9,3400,18,1701,10
Cleveland Browns,322,4959,5.0,2846,13,2113,14
Tennessee Titans,324,4901,5.3,3606,20,1295,10
New Orleans Saints,326,5234,5.2,2993,20,2241,12
Seattle Seahawks,327,5239,4.9,3480,24,1759,9
Pittsburgh Steelers,327,4783,4.9,3042,20,1741,14
St. Louis Rams,328,5052,5.2,3072,23,1980,9
Jacksonville Jaguars,331,4657,4.8,3251,23,1406,12
Kansas City Chiefs,332,5707,5.4,3363,19,2344,18
Indianapolis Colts,336,4789,5.2,2809,18,1980,19
San Francisco 49ers,337,4928,5.0,3238,25,1690,13
Chicago Bears,346,4947,5.0,3082,20,1865,13
Minnesota Vikings,353,5356,5.6,3477,17,1879,22
Washington Redskins,372,5412,5.3,3195,23,2217,20
Oakland Raiders,379,5904,5.7,3394,21,2510,21
Detroit Lions,379,5360,5.4,3578,26,1782,14
Houston Texans,380,6082,5.8,3712,22,2370,15
Cincinnati Bengals,384,5620,5.6,3402,23,2218,18
New York Giants,387,5320,5.0,3412,25,1908,12
Atlanta Falcons,422,6108,5.9,3800,28,2308,21
San Diego Chargers,441,5593,5.2,3375,36,2218,12
Arizona Cardinals,452,5504,5.5,3589,29,1915,17
