Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Seattle Seahawks,231,4378,4.4,2752,16,1626,4
Carolina Panthers,241,4820,4.9,3429,17,1391,4
San Francisco 49ers,272,5071,5.0,3536,19,1535,11
New Orleans Saints,304,4891,5.2,3105,20,1786,11
Cincinnati Bengals,305,4888,4.7,3344,22,1544,6
Kansas City Chiefs,305,5885,5.5,3962,25,1923,9
Arizona Cardinals,324,5079,4.9,3728,29,1351,5
Miami Dolphins,335,5750,5.2,3752,17,1998,14
Indianapolis Colts,336,5713,5.6,3711,21,2002,14
New England Patriots,338,5969,5.3,3824,25,2145,11
San Diego Chargers,348,5864,6.1,4139,23,1725,14
Baltimore Ravens,352,5368,5.2,3681,25,1687,7
St. Louis Rams,364,5520,5.4,3874,21,1646,18
Pittsburgh Steelers,370,5395,5.2,3546,21,1849,18
Detroit Lions,376,5546,5.6,3950,24,1596,10
Tennessee Titans,381,5407,5.3,3612,15,1795,21
Philadelphia Eagles,382,6304,5.5,4636,25,1668,12
New York Giants,383,5316,4.9,3573,21,1743,12
New York Jets,387,5359,5.1,3947,26,1412,9
Buffalo Bills,388,5334,4.9,3271,28,2063,10
Tampa Bay Buccaneers,389,5568,5.5,3806,30,1762,10
Denver Broncos,399,5696,5.3,4070,29,1626,15
Cleveland Browns,406,5319,4.8,3538,29,1781,13
Houston Texans,428,5081,5.2,3123,29,1958,11
Green Bay Packers,428,5956,5.9,3956,30,2000,16
Dallas Cowboys,432,6645,6.1,4589,33,2056,17
Atlanta Falcons,443,6070,6.1,3897,31,2173,14
Jacksonville Jaguars,449,6070,5.6,3962,29,2108,20
Oakland Raiders,453,5819,5.7,4092,33,1727,15
Washington Redskins,478,5665,5.7,3896,29,1769,23
Chicago Bears,478,6313,6.2,3730,25,2583,22
Minnesota Vikings,480,6362,5.6,4595,37,1767,14
