Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Seattle Seahawks,254,4274,4.6,2970,17,1304,8
Kansas City Chiefs,281,5288,5.2,3252,22,2036,4
Detroit Lions,282,4815,4.9,3706,23,1109,8
Buffalo Bills,289,4995,4.9,3292,16,1703,10
Arizona Cardinals,299,5891,5.8,4152,22,1739,9
Baltimore Ravens,302,5391,5.2,3979,22,1412,8
Houston Texans,307,5571,5.2,3890,28,1681,6
New England Patriots,313,5506,5.3,3837,24,1669,6
Cleveland Browns,337,5857,5.2,3592,22,2265,13
San Francisco 49ers,340,5143,5.2,3531,29,1612,7
Minnesota Vikings,343,5515,5.4,3572,26,1943,10
Cincinnati Bengals,344,5749,5.4,3888,18,1861,16
San Diego Chargers,348,5413,5.5,3427,24,1986,11
Green Bay Packers,348,5542,5.3,3623,26,1919,11
Dallas Cowboys,352,5681,5.8,4031,22,1650,18
Denver Broncos,354,4883,4.7,3607,29,1276,9
St. Louis Rams,354,5626,5.6,3861,18,1765,12
Pittsburgh Steelers,368,5654,6.0,4049,30,1605,9
Indianapolis Colts,369,5483,5.4,3669,27,1814,14
Miami Dolphins,373,5494,5.3,3557,27,1937,13
Carolina Panthers,374,5437,5.4,3645,25,1792,14
Philadelphia Eagles,400,6009,5.4,4238,30,1771,14
New York Giants,400,6012,6.0,3850,25,2162,15
New York Jets,401,5235,5.4,3746,31,1489,10
Tampa Bay Buccaneers,410,5903,5.5,4084,28,1819,15
Jacksonville Jaguars,412,5932,5.5,3899,24,2033,15
Atlanta Falcons,417,6372,6.1,4478,20,1894,21
New Orleans Saints,424,6144,6.0,4019,26,2125,17
Washington Redskins,438,5712,5.9,3990,35,1722,11
Tennessee Titans,438,5968,5.4,3773,28,2195,17
Chicago Bears,442,6033,6.0,4230,34,1803,12
Oakland Raiders,452,5721,5.5,3810,29,1911,17
