Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
New Orleans Saints,510,6461,6.3,4355,34,2106,21
Minnesota Vikings,470,6074,5.8,4156,34,1918,19
Green Bay Packers,461,6065,5.8,4180,30,1885,20
San Diego Chargers,454,5761,5.9,4338,29,1423,17
Philadelphia Eagles,429,5726,5.9,4089,27,1637,14
New England Patriots,427,6357,5.9,4436,28,1921,19
Indianapolis Colts,416,5809,5.9,4515,34,1294,16
New York Giants,402,5856,5.8,4019,28,1837,14
Baltimore Ravens,391,5619,5.5,3419,21,2200,22
Houston Texans,388,6129,5.9,4654,29,1475,13
Arizona Cardinals,375,5510,5.6,4016,27,1494,16
Pittsburgh Steelers,368,5941,5.9,4148,28,1793,10
Atlanta Falcons,363,5447,5.2,3571,26,1876,15
Dallas Cowboys,361,6390,6.3,4287,26,2103,14
Miami Dolphins,360,5401,5.0,3170,15,2231,22
Tennessee Titans,354,5623,5.7,3031,16,2592,19
New York Jets,348,5136,5.0,2380,12,2756,21
San Francisco 49ers,330,4652,5.0,3052,23,1600,12
Chicago Bears,327,4965,5.1,3473,27,1492,6
Denver Broncos,326,5463,5.3,3627,21,1836,9
Carolina Panthers,315,5297,5.2,2799,16,2498,18
Cincinnati Bengals,305,4946,4.9,2890,21,2056,9
Kansas City Chiefs,294,4851,4.8,2922,18,1929,8
Jacksonville Jaguars,290,5385,5.3,3356,15,2029,19
Seattle Seahawks,280,5069,4.9,3503,20,1566,7
Washington Redskins,266,5000,5.2,3490,21,1510,8
Detroit Lions,262,4784,4.6,3168,16,1616,9
Buffalo Bills,258,4382,4.8,2515,17,1867,6
Cleveland Browns,245,4163,4.3,2076,11,2087,10
Tampa Bay Buccaneers,244,4600,4.8,2973,18,1627,5
Oakland Raiders,197,4258,4.5,2557,10,1701,7
St. Louis Rams,175,4470,4.5,2686,12,1784,4
