Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Green Bay Packers,486,6178,6.2,4261,38,1917,14
Denver Broncos,482,6446,6.0,4661,40,1785,15
Philadelphia Eagles,474,6348,5.6,4356,27,1992,16
New England Patriots,468,5848,5.5,4121,34,1727,13
Dallas Cowboys,467,6138,6.1,3784,37,2354,16
Indianapolis Colts,458,6506,5.9,4894,42,1612,9
Pittsburgh Steelers,436,6577,6.2,4825,33,1752,10
Baltimore Ravens,409,5838,5.7,3819,27,2019,16
New Orleans Saints,401,6582,6.0,4764,33,1818,16
Seattle Seahawks,394,6012,5.9,3250,20,2762,20
Miami Dolphins,388,5601,5.4,3729,27,1872,12
Atlanta Falcons,381,6051,5.8,4553,28,1498,11
New York Giants,380,5875,5.4,4272,30,1603,13
Houston Texans,372,5513,5.2,3352,22,2161,12
Cincinnati Bengals,365,5568,5.5,3421,20,2147,19
Kansas City Chiefs,353,5100,5.3,3182,18,1918,18
San Diego Chargers,348,5465,5.4,4098,31,1367,6
Buffalo Bills,343,5096,5.0,3614,23,1482,7
Carolina Panthers,339,5547,5.2,3511,23,2036,10
Minnesota Vikings,325,5048,5.1,3244,17,1804,12
St. Louis Rams,324,5035,5.3,3400,20,1635,11
Detroit Lions,321,5452,5.2,4030,22,1422,11
Chicago Bears,319,5233,5.2,3792,30,1441,8
Arizona Cardinals,310,5116,5.2,3808,21,1308,6
San Francisco 49ers,306,5239,5.2,3063,20,2176,10
Washington Redskins,301,5738,5.7,4047,18,1691,15
Cleveland Browns,299,5193,5.1,3465,12,1728,17
New York Jets,283,5226,5.0,2946,16,2280,11
Tampa Bay Buccaneers,277,4672,5.0,3297,21,1375,7
Tennessee Titans,254,4859,5.3,3412,20,1447,6
Oakland Raiders,253,4515,4.5,3275,22,1240,4
Jacksonville Jaguars,249,4634,4.7,3001,15,1633,9
