Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Los Angeles Rams,296,4511,4.6,3051,17,1460,12
Baltimore Ravens,303,5276,5.2,3536,22,1740,12
Pittsburgh Steelers,312,4893,4.9,3110,22,1783,13
Washington Football Team,329,4873,4.9,3068,21,1805,14
New Orleans Saints,337,4974,5.0,3472,28,1502,11
Miami Dolphins,338,5886,5.9,4024,21,1862,17
New England Patriots,353,5660,5.8,3557,22,2103,17
Tampa Bay Buccaneers,355,5234,5.1,3945,29,1289,10
New York Giants,357,5589,5.3,3807,22,1782,14
Indianapolis Colts,362,5314,5.4,3866,24,1448,16
Kansas City Chiefs,362,5733,5.6,3779,29,1954,14
Arizona Cardinals,367,5631,5.3,3623,26,2008,13
Green Bay Packers,369,5344,5.5,3539,23,1805,16
Chicago Bears,370,5519,5.4,3705,28,1814,11
Seattle Seahawks,371,6089,5.5,4560,23,1529,18
Buffalo Bills,375,5640,5.5,3726,23,1914,21
San Francisco 49ers,390,5030,5.0,3327,25,1703,12
Carolina Panthers,402,5761,5.6,3825,28,1936,17
Atlanta Falcons,414,6374,6.2,4697,34,1677,15
Philadelphia Eagles,418,5810,5.5,3798,27,2012,20
Cleveland Browns,419,5735,5.5,3962,31,1773,16
Cincinnati Bengals,424,6227,6.1,3859,32,2368,13
Los Angeles Chargers,426,5495,5.5,3578,29,1917,17
Tennessee Titans,439,6372,5.9,4439,36,1933,18
Denver Broncos,446,5887,5.6,3807,21,2080,22
New York Jets,457,6201,5.7,4409,34,1792,16
Houston Texans,464,6668,6.2,4104,30,2564,24
Dallas Cowboys,473,6183,5.9,3642,34,2541,20
Minnesota Vikings,475,6292,6.1,4141,30,2151,19
Las Vegas Raiders,478,6225,6.0,4212,28,2013,24
Jacksonville Jaguars,492,6683,6.3,4231,34,2452,23
Detroit Lions,519,6716,6.3,4558,38,2158,27
