Tm,PA,Yds,Y/P,Yds,TD,Yds,TD
Tampa Bay Buccaneers,196,4044,4.2,2490,10,1554,8
Philadelphia Eagles,241,4754,4.7,3094,18,1660,5
New York Giants,279,4949,5.0,3119,17,1830,12
Miami Dolphins,301,4656,4.8,3102,20,1554,9
Carolina Panthers,302,4646,4.5,2993,18,1653,12
Oakland Raiders,304,4979,5.0,3526,21,1453,14
Indianapolis Colts,313,4909,5.1,2917,19,1992,16
Atlanta Falcons,314,5334,5.3,3287,23,2047,12
Jacksonville Jaguars,315,5335,5.1,3264,19,2071,14
Cleveland Browns,320,5348,5.2,3269,20,2079,12
Tennessee Titans,324,4964,5.1,3540,27,1424,7
Green Bay Packers,328,4985,5.1,2987,24,1998,14
Dallas Cowboys,329,5267,4.9,3449,22,1818,10
New York Jets,336,5463,5.4,3490,17,1973,17
Denver Broncos,344,4826,4.9,3337,15,1489,21
Pittsburgh Steelers,345,4835,4.9,3460,19,1375,16
New England Patriots,346,5377,5.2,3179,23,2198,17
San Francisco 49ers,351,5158,5.3,3506,23,1652,14
Baltimore Ravens,354,5353,5.0,3591,16,1762,17
Houston Texans,356,5230,5.0,3141,23,2089,14
Washington Redskins,365,4787,4.8,3033,19,1754,14
San Diego Chargers,367,6034,5.7,4295,26,1739,15
Seattle Seahawks,369,5852,5.4,3411,21,2441,18
St. Louis Rams,369,5025,5.3,3209,15,1816,15
Chicago Bears,379,5606,5.2,3530,24,2076,13
New Orleans Saints,388,5796,5.4,3805,25,1991,18
Buffalo Bills,397,5189,5.2,3067,24,2122,20
Kansas City Chiefs,399,6248,5.8,4181,27,2067,19
Arizona Cardinals,417,6020,5.8,3874,29,2146,17
Minnesota Vikings,442,5769,6.0,4103,33,1666,15
Detroit Lions,451,6117,5.5,4150,27,1967,19
Cincinnati Bengals,456,5265,5.4,3262,30,2003,16
