Tm,PF,Yds,Y/P,Yds,TD,Yds,TD
Denver Broncos,606,7317,6.3,5444,55,1873,16
Chicago Bears,445,6109,6.0,4281,32,1828,13
New England Patriots,444,6152,5.4,4087,25,2065,19
Philadelphia Eagles,442,6676,6.3,4110,32,2566,19
Dallas Cowboys,439,5458,5.7,3954,33,1504,12
Cincinnati Bengals,430,5891,5.4,4136,33,1755,14
Kansas City Chiefs,430,5396,5.2,3340,24,2056,17
Green Bay Packers,417,6404,6.0,4268,25,2136,17
Seattle Seahawks,417,5424,5.6,3236,27,2188,14
New Orleans Saints,414,6391,5.9,4918,39,1473,10
San Francisco 49ers,406,5180,5.4,2979,21,2201,18
San Diego Chargers,396,6293,5.9,4328,32,1965,9
Detroit Lions,395,6274,5.7,4482,29,1792,15
Indianapolis Colts,391,5468,5.3,3725,23,1743,15
Minnesota Vikings,391,5508,5.4,3427,18,2081,23
Arizona Cardinals,379,5542,5.3,4002,24,1540,12
Pittsburgh Steelers,379,5400,5.3,4017,28,1383,9
Carolina Panthers,366,5069,5.1,3043,24,2026,14
Tennessee Titans,362,5390,5.2,3496,22,1894,16
Atlanta Falcons,353,5490,5.4,4243,26,1247,11
St. Louis Rams,348,4877,5.0,3125,22,1752,10
Buffalo Bills,339,5410,4.8,3103,16,2307,15
Washington Redskins,334,5915,5.3,3751,20,2164,14
Oakland Raiders,322,5340,5.3,3340,17,2000,16
Baltimore Ravens,320,4918,4.5,3590,19,1328,7
Miami Dolphins,317,5007,5.0,3567,24,1440,8
Cleveland Browns,308,5423,5.0,4040,26,1383,4
New York Giants,294,4920,5.0,3588,18,1332,11
New York Jets,290,5090,5.0,2932,13,2158,12
Tampa Bay Buccaneers,288,4432,4.5,2820,22,1612,6
Houston Texans,276,5556,5.1,3813,19,1743,7
Jacksonville Jaguars,247,4701,4.6,3441,16,1260,7
