id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
21,493513,378649,0,205205,50976,122468,50965,204953,6691,249227,0,0,"21971
8.59%","2251
0.88%","19240
7.52%","8827
3.45%","166725
65.15%","15507
6.06%","1762
0.69%","579
0.23%","1286
0.50%","1831
0.72%","283
0.11%","1585
0.62%","1600
0.63%","5780
2.26%"
22,531951,503387,0,218972,26314,258096,26314,218915,5969,239260,5,0,"89018
36.30%","1715
0.70%","19481
7.94%","15085
6.15%","81969
33.43%","15896
6.48%","1401
0.57%","762
0.31%","1274
0.52%","2962
1.21%","293
0.12%","1275
0.52%","1652
0.67%","6477
2.64%"
23,590906,479531,0,312093,72667,94776,72654,311475,5387,378742,9,14,"49928
12.99%","1650
0.43%","29777
7.75%","11515
2.99%","253527
66.00%","16536
4.30%","1629
0.42%","797
0.21%","1543
0.40%","3590
0.93%","493
0.13%","1236
0.32%","1196
0.31%","5325
1.39%"
24,659338,610148,6455,302480,28824,272389,35277,302387,6949,330715,0,0,"118683
35.15%","2455
0.73%","17354
5.14%","33317
9.87%","112160
33.22%","27643
8.19%","3534
1.05%","602
0.18%","1878
0.56%","4295
1.27%","812
0.24%","1652
0.49%","1145
0.34%","5185
1.54%"
25,520743,498501,0,327295,123715,47491,123660,326860,4777,445743,0,0,"51782
11.49%","1869
0.41%","6430
1.43%","2518
0.56%","320410
71.12%","47507
10.54%","1670
0.37%","1511
0.34%","1141
0.25%","2314
0.51%","1440
0.32%","1600
0.36%","3293
0.73%","2258
0.50%"
26,497923,471049,0,335044,46336,89669,46326,334695,3425,377596,0,0,"38031
9.98%","1105
0.29%","9203
2.42%","3853
1.01%","304276
79.86%","9297
2.44%","1403
0.37%","1847
0.48%","1198
0.31%","2869
0.75%","626
0.16%","852
0.22%","953
0.25%","2083
0.55%"
27,520716,513454,0,344140,75712,93602,75709,343931,4303,415337,0,0,"40627
9.68%","1148
0.27%","11217
2.67%","3593
0.86%","336157
80.11%","11168
2.66%","1587
0.38%","1748
0.42%","1198
0.29%","2451
0.58%","609
0.15%","825
0.20%","789
0.19%","2220
0.53%"
28,433638,439469,285,324159,57759,57266,58044,324030,3788,378286,0,0,"37643
9.85%","777
0.20%","5293
1.39%","2784
0.73%","317703
83.15%","5381
1.41%","1110
0.29%","1288
0.34%","847
0.22%","1761
0.46%","532
0.14%","714
0.19%","727
0.19%","1726
0.45%"
29,519310,492363,0,324075,101860,66428,101860,323913,4456,421317,0,0,"27705
6.51%","1039
0.24%","17405
4.09%","4874
1.14%","325481
76.44%","15802
3.71%","1005
0.24%","3841
0.90%","808
0.19%","19541
4.59%","588
0.14%","685
0.16%","863
0.20%","1680
0.39%"
30,423117,431852,38,300540,61819,69450,61855,300482,2480,359857,5,0,"36050
9.95%","1010
0.28%","10094
2.79%","4596
1.27%","289412
79.87%","7008
1.93%","1704
0.47%","1766
0.49%","1138
0.31%","2415
0.67%","557
0.15%","803
0.22%","836
0.23%","2468
0.68%"
31,546834,508786,0,328375,21285,159126,21284,327808,3613,345479,0,0,"43558
12.48%","1161
0.33%","12227
3.50%","3744
1.07%","260006
74.48%","13812
3.96%","1864
0.53%","1077
0.31%","1391
0.40%","1901
0.54%","677
0.19%","930
0.27%","831
0.24%","2300
0.66%"
32,197564,184130,9759,115062,39705,19578,49271,114887,1284,162874,26,0,"6888
4.20%","518
0.32%","2981
1.82%","3747
2.28%","140090
85.34%","4918
2.99%","279
0.17%","211
0.13%","317
0.19%","898
0.55%","79
0.05%","310
0.19%","705
0.43%","933
0.57%"
33,554986,521076,0,241397,26542,253136,26541,241357,7953,259945,1,0,"68933
25.73%","2164
0.81%","26329
9.83%","20102
7.50%","95415
35.62%","23526
8.78%","1971
0.74%","823
0.31%","1535
0.57%","3696
1.38%","289
0.11%","2119
0.79%","1536
0.57%","11507
4.30%"
34,609479,568602,0,261173,23434,283988,23434,261102,7230,277306,7,0,"70869
24.91%","2571
0.90%","26953
9.47%","20603
7.24%","101412
35.64%","27262
9.58%","2885
1.01%","877
0.31%","1650
0.58%","3481
1.22%","554
0.19%","2395
0.84%","2948
1.04%","12846
4.51%"
35,394707,377042,447,137992,9767,228856,10212,137898,4352,143758,2,22,"44205
29.85%","1730
1.17%","11875
8.02%","14588
9.85%","49412
33.36%","9740
6.58%","941
0.64%","403
0.27%","1166
0.79%","2836
1.91%","370
0.25%","1028
0.69%","1174
0.79%","4290
2.90%"
36,775256,762116,577,682015,49376,30148,49953,682015,530,731438,0,0,"5489
0.75%","1683
0.23%","816
0.11%","1738
0.24%","703613
96.13%","6810
0.93%","963
0.13%","1718
0.23%","2396
0.33%","1050
0.14%","964
0.13%","1047
0.14%","1351
0.18%","1800
0.25%"
37,463708,418168,0,237609,31463,149094,31453,237489,8526,260416,4,2,"59877
22.26%","2156
0.80%","18123
6.74%","15123
5.62%","101559
37.76%","40475
15.05%","1342
0.50%","838
0.31%","1646
0.61%","4968
1.85%","483
0.18%","1262
0.47%","1198
0.45%","11366
4.23%"
38,448245,376797,0,218974,32082,125735,32078,218720,7371,243427,7,1,"57124
22.78%","2518
1.00%","17170
6.85%","14539
5.80%","91695
36.56%","36995
14.75%","1600
0.64%","843
0.34%","1576
0.63%","4741
1.89%","583
0.23%","1508
0.60%","1340
0.53%","11195
4.46%"
39,432296,378251,429,150705,25470,201647,25894,150622,4377,172139,0,0,"51957
29.43%","1242
0.70%","16656
9.44%","10878
6.16%","58791
33.31%","18577
10.52%","1881
1.07%","451
0.26%","997
0.56%","4126
2.34%","150
0.08%","924
0.52%","936
0.53%","4573
2.59%"
40,486208,394197,13,169113,21287,203784,21296,169024,5147,185173,0,0,"62058
32.61%","1185
0.62%","17024
8.94%","12543
6.59%","61171
32.14%","16965
8.91%","1684
0.88%","420
0.22%","977
0.51%","4313
2.27%","147
0.08%","813
0.43%","1215
0.64%","4658
2.45%"
41,470545,414844,7,160373,19062,235400,19004,160324,4569,174759,2,0,"53948
30.08%","1083
0.60%","16584
9.25%","12263
6.84%","58430
32.58%","18616
10.38%","1644
0.92%","417
0.23%","987
0.55%","3851
2.15%","129
0.07%","888
0.50%","957
0.53%","4962
2.77%"
42,417630,391815,10389,153664,29363,198397,39751,153545,4883,188413,3,1,"57897
29.95%","1108
0.57%","16948
8.77%","9326
4.82%","70579
36.51%","18667
9.66%","2016
1.04%","472
0.24%","996
0.52%","3853
1.99%","222
0.11%","858
0.44%","902
0.47%","4569
2.36%"
43,393012,381652,4072,117327,34001,226252,38070,117221,3892,151399,0,0,"30289
19.50%","1778
1.14%","19460
12.53%","15461
9.96%","60692
39.08%","11402
7.34%","969
0.62%","496
0.32%","913
0.59%","2993
1.93%","166
0.11%","846
0.54%","1060
0.68%","4874
3.14%"
44,396326,397976,3459,123386,28357,242772,31814,123172,4734,150252,2,0,"31756
20.49%","1080
0.70%","18248
11.77%","13566
8.75%","59276
38.25%","14464
9.33%","702
0.45%","393
0.25%","780
0.50%","2975
1.92%","205
0.13%","643
0.41%","985
0.64%","5179
3.34%"
45,233851,231790,1816,93404,3860,132708,5631,93229,3648,95212,2,0,"23597
23.87%","1098
1.11%","11525
11.66%","8646
8.75%","34362
34.76%","6843
6.92%","758
0.77%","312
0.32%","777
0.79%","2073
2.10%","140
0.14%","900
0.91%","627
0.63%","3554
3.59%"
46,566415,510345,0,188577,67805,253963,67798,188395,3492,252701,0,0,"54115
21.12%","2370
0.93%","13443
5.25%","17817
6.95%","129013
50.36%","19199
7.49%","2523
0.98%","1394
0.54%","2029
0.79%","2365
0.92%","736
0.29%","1602
0.63%","1932
0.75%","4163
1.62%"
47,642620,588443,0,224671,89125,274647,89123,224452,4199,309376,0,0,"60057
19.15%","1911
0.61%","17364
5.54%","17627
5.62%","173388
55.29%","21400
6.82%","2467
0.79%","1259
0.40%","2227
0.71%","2931
0.93%","569
0.18%","1426
0.45%","1862
0.59%","4888
1.56%"
48,523420,500776,0,283961,106382,110433,106354,283639,4132,385861,0,0,"55914
14.34%","1862
0.48%","21145
5.42%","13859
3.55%","256960
65.89%","18688
4.79%","2002
0.51%","1326
0.34%","1929
0.49%","3425
0.88%","578
0.15%","1239
0.32%","1871
0.48%","5063
1.30%"
49,565453,523525,0,322066,67329,134130,67322,321523,4940,383905,0,0,"52466
13.49%","2270
0.58%","14880
3.83%","18940
4.87%","242189
62.28%","32062
8.25%","2057
0.53%","4867
1.25%","2404
0.62%","2966
0.76%","578
0.15%","1451
0.37%","1999
0.51%","4776
1.23%"
50,541973,493856,0,277760,75633,140463,75623,277669,4347,348945,0,0,"57286
16.21%","2315
0.66%","24453
6.92%","15564
4.41%","212927
60.27%","15401
4.36%","3940
1.12%","1677
0.47%","2427
0.69%","3272
0.93%","856
0.24%","1796
0.51%","1946
0.55%","5085
1.44%"
51,462620,455369,0,277084,106865,71420,106865,277007,2561,381311,0,0,"41600
10.84%","1364
0.36%","21740
5.66%","16807
4.38%","261774
68.19%","23786
6.20%","1974
0.51%","1508
0.39%","1418
0.37%","2198
0.57%","963
0.25%","910
0.24%","1385
0.36%","3884
1.01%"
52,525042,503703,0,291926,108633,103144,108536,291523,4401,395658,0,0,"58172
14.54%","1615
0.40%","22278
5.57%","13931
3.48%","258726
64.67%","25075
6.27%","2254
0.56%","1178
0.29%","1678
0.42%","2582
0.65%","515
0.13%","1128
0.28%","1719
0.43%","4807
1.20%"
53,492711,487063,0,236056,100172,150835,100168,235959,6564,329563,0,0,"58278
17.34%","1735
0.52%","22842
6.80%","17301
5.15%","185944
55.32%","23263
6.92%","3871
1.15%","1332
0.40%","2273
0.68%","3121
0.93%","653
0.19%","1263
0.38%","2107
0.63%","5580
1.66%"
54,515129,467586,14,186979,14493,266100,14499,186515,6072,194942,0,0,"46408
23.09%","7077
3.52%","31158
15.50%","15767
7.84%","65159
32.42%","12754
6.34%","1437
0.71%","438
0.22%","1172
0.58%","4134
2.06%","229
0.11%","1754
0.87%","1571
0.78%","5884
2.93%"
55,563289,472343,0,212585,7706,252052,7680,212112,5716,214076,0,0,"48716
22.16%","10515
4.78%","32891
14.96%","21663
9.86%","66193
30.12%","14155
6.44%","2222
1.01%","594
0.27%","1455
0.66%","4450
2.02%","282
0.13%","2399
1.09%","1862
0.85%","6679
3.04%"
56,547079,523159,687,214597,20453,287422,21041,214235,6494,228782,0,0,"63421
26.96%","7910
3.36%","25584
10.87%","17594
7.48%","81261
34.54%","12985
5.52%","1718
0.73%","554
0.24%","1388
0.59%","5331
2.27%","305
0.13%","2020
0.86%","2036
0.87%","6675
2.84%"
