id,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,percent27,winner_index
25,17733,7692,24725,0,340844,23915,0,0,0,11039,0,0,14396,0,0,0.040270788292789,0.01746815965823,0.056149275925186,0,0.774040194274779,0.054309805207313,0,0,0,0.025069033647649,0,0,0.032692617845055,0,0,17
26,41216,0,20539,8464,232177,16668,8354,13300,0,18168,0,0,0,10229,0,0.111661677255056,0,0.055643888183114,0.022930516070981,0.629009738871944,0.045156644833543,0.022632506055881,0.036032120007567,0,0.049220417766728,0,0,0,0.027712222222361,0,17
27,36221,0,17066,10194,295275,20493,0,8300,0,15917,0,0,0,8166,0,0.087993644808956,0,0.041459352897346,0.024764833202599,0.717327459672091,0.049784748560021,0,0.02016363700035,0,0.038668025317418,0,0,0,0.019838103583718,0,17
28,25229,0,14183,9217,276061,21552,10040,9373,0,0,0,0,0,11375,0,0.066915099594197,0,0.037617689528177,0.024446326192005,0.732198899304665,0.057162549863306,0.026629175975668,0.024860086296806,0,0,0,0,0,0.030170007641755,0,17
29,20869,0,15062,10176,285818,12064,0,15927,0,51844,0,0,0,8242,0,0.049687858629245,0,0.035861729749162,0.024228453188652,0.680515726559947,0.028723669346295,0,0.037921243507828,0,0.123437492837309,0,0,0,0.019623713755981,0,17
30,41483,0,13513,9155,252025,10727,5952,6194,0,13317,0,0,0,5517,0,0.115912183590727,0,0.037758137780704,0.025580977679446,0.704210365883372,0.029973473246031,0.016631128252109,0.017307326679026,0,0.037210472939069,0,0,0,0.015415647608684,0,17
31,51785,0,12875,11177,195454,12390,8040,7359,0,23445,6699,0,0,9646,0,0.152816714374244,0,0.037993903838925,0.03298313500642,0.576781396577337,0.036562677170041,0.023725901892424,0.021716282590342,0,0.069185792272124,0.019768633927531,0,0,0.028465180305264,0,17
32,6898,1960,5240,0,121936,14717,0,0,0,0,0,0,6625,2983,0,0.043015982888394,0.012222572317326,0.032676670439376,0,0.760393604331256,0.09177529749166,0,0,0,0,0,0,0.041313538484898,0.01860200532837,0,17
33,66643,0,17545,19258,94260,18002,0,0,0,8102,0,4123,5364,18644,0,0.264518280073509,0,0.069639247201314,0.076438450989051,0.374134821384771,0.071453162047196,0,0,0,0.032158289018241,0,0.016364925403877,0.021290676659324,0.074001375025437,0,17
34,61164,0,16591,12677,93607,28722,7011,0,0,11280,3390,10625,8528,14211,0,0.228389207112611,0,0.061951509118332,0.047336464414025,0.349532572722541,0.107249185998235,0.026179376193637,0,0,0.042120006199432,0.012658406118447,0.039674207967107,0.031843919580564,0.0530644865337,0,17
35,33112,3602,5315,9700,42616,6651,0,0,0,9856,0,0,1672,3966,24755,0.234429537328755,0.025501745347712,0.037629581357886,0.068674870963593,0.301716319689122,0.047088305853491,0,0,0,0.069779332805894,0,0,0.011837565386714,0.028078818375424,0.175262518629252,17
36,12634,3711,1069,0,668255,14882,0,0,0,0,5611,0,0,7388,0,0.017705837012123,0.005200756650433,0.001498143039286,0,0.93652158720129,0.020856281300895,0,0,0,0,0.00786349915195,0,0,0.010353864148032,0,17
37,53390,5415,10569,17241,37571,111123,0,0,0,0,0,0,3527,16216,0,0.209329862145758,0.021230947241068,0.041438571138001,0.067597918912885,0.147307082621425,0.435687230633751,0,0,0,0,0,0,0.013828540108216,0.063579134220251,0,18
38,22502,0,13596,0,97548,45197,3231,0,0,27788,4957,0,5934,13750,0,0.095956128493026,0,0.057977912592436,0,0.415977450541845,0.192735195310409,0.013778069695952,0,0,0.11849736945562,0.021138313674662,0,0.025304569970838,0.058634620340247,0,17
39,33194,0,7937,12273,62196,17701,0,0,0,18361,0,0,0,10844,0,0.204263227203919,0,0.048841212161621,0.075523270361544,0.382730002721958,0.108925072001116,0,0,0,0.112986455398705,0,0,0,0.066729759944641,0,17
40,51177,0,14593,14565,41814,16689,5921,0,2585,14683,0,0,7024,9580,0,0.28649562505948,0,0.081693416009504,0.081536668551938,0.234079935381443,0.093427082833044,0.033146489151804,0,0.014471149207467,0.08219724712311,0,0,0.039321219355222,0.053630022981638,0,13
41,43132,0,12870,13561,55377,21456,3835,0,0,8294,0,0,0,9096,0,0.257318593732289,0,0.076780237816367,0.080902626653283,0.330369792506366,0.128002858009943,0.022878959753362,0,0,0.049480597703881,0,0,0,0.054265193720099,0,17
42,39784,0,10370,7905,72680,19846,4012,0,0,18530,0,0,2156,6316,0,0.21907609623401,0,0.057103769789091,0.043529922872012,0.400221985368476,0.109284610919411,0.022092606016763,0,0,0.102037883721489,0,0,0.011872297749786,0.034779885244734,0,17
43,28728,6036,10233,13480,57995,16486,0,0,0,0,0,0,3025,8234,0,0.199199816942524,0.041853537813038,0.070955455292715,0.093470100395368,0.402136385195055,0.114313655424186,0,0,0,0,0,0,0.020975300719287,0.057094421858714,0,17
44,31308,0,23475,0,32290,36617,0,0,0,0,0,0,5464,14103,0,0.21854429451964,0,0.163866088135319,0,0.225398764042149,0.255603175686942,0,0,0,0,0,0,0.038141184475884,0.098445300999889,0,18
45,17470,0,10589,9728,37070,8584,0,0,0,0,0,0,0,3878,0,0.200071004019744,0,0.121267716508964,0.111407342166323,0.424534351778948,0.098305985316172,0,0,0,0,0,0,0,0.044411767364412,0,17
46,45252,6016,8942,15173,130231,13499,2782,4027,0,0,2429,0,3750,6010,0,0.190045818966784,0.025265507256683,0.037553879972888,0.063722323957574,0.546933498406303,0.056691995722882,0.01168361597904,0.01691226511416,0,0,0.010201115461211,0,0.015748943178073,0.025240306266725,0,17
47,56978,0,14859,19029,164331,19471,4004,3446,5417,0,3658,0,0,9188,0,0.189685765744172,0,0.049467145447903,0.06334950607229,0.547074869008641,0.064820969716409,0.013329729482025,0.011472089858905,0.018033752398633,0,0.01217785975156,0,0,0.030587800819391,0,17
48,45255,3571,8524,8948,276279,12906,2964,2756,0,0,4440,0,0,10950,0,0.120169519879552,0.009482382467297,0.022634507453386,0.023760390977581,0.733627297596677,0.034270407460512,0.007870563126682,0.007318242907266,0,0,0.011789912376001,0,0,0.029076473089463,0,17
49,42708,5548,11799,15054,243149,19876,3070,8589,6356,0,2835,0,3620,8786,0,0.114995018713482,0.014938469754572,0.031769826522081,0.040534195140555,0.654699682093181,0.053517846593176,0.008266240140926,0.023126624290038,0.017114078936719,0,0.007633482345122,0,0.009747162641744,0.023657063803967,0,17
50,42572,0,11851,16657,209512,11098,7913,5207,0,8958,5668,0,6870,7105,0,0.127686249103959,0,0.035544704468149,0.049959340336339,0.628389344572679,0.033286231557465,0.023733461012274,0.01561735517388,0,0.026867729527101,0.017000032480421,0,0.020605191097476,0.02131002660081,0,17
51,41153,0,15229,12621,278780,15855,5734,3768,0,0,2131,0,0,4662,0,0.108316466324326,0,0.040083371695301,0.033219005461054,0.733760743398518,0.041731030154902,0.015092130363179,0.009917535264817,0,0,0.005608882072538,0,0,0.01227058105217,0,17
52,44502,0,19288,11772,271669,17641,3811,5211,0,0,0,0,8606,9373,0,0.113562302072355,0,0.049220013653561,0.030040335998015,0.693257563731298,0.045017122607967,0.009725086687771,0.013297671668846,0,0,0,0,0.021961190247955,0.023918456448301,0,17
53,50377,2962,13658,13172,179745,12597,13303,5197,10234,0,6369,0,8260,9712,0,0.154727168858612,0.009097438441392,0.041948957042774,0.040456264619082,0.552065842997027,0.038690219056071,0.040858615869089,0.015961980506026,0.031432539637996,0,0.019561642070979,0,0.025369628435592,0.029829277405141,0,17
54,26846,10672,29519,13500,73325,13353,0,0,0,13629,0,0,0,6840,0,0.143038298416487,0.056861489879954,0.157280154726723,0.071929336658111,0.390682860033775,0.071146106103389,0,0,0,0.072616661430622,0,0,0,0.036444197240109,0,17
55,37722,19206,0,26792,61872,18309,5836,0,0,17475,0,0,0,12167,0,0.189197458107424,0.096329010451432,0,0.1343770488958,0.310323110229955,0.091830001053793,0.029270844183185,0,0,0.08764701886586,0,0,0,0.061024393621798,0,17
56,65677,0,16126,18066,79451,12640,0,0,0,17978,0,0,0,9637,0,0.299109643629739,0,0.073441776308125,0.082277014187187,0.361839425118244,0.057565673603789,0,0,0,0.081876240510199,0,0,0,0.043889271876559,0,17
57,30552,15345,15798,13554,72311,18708,0,0,0,9461,0,0,0,9554,0,0.164893703145998,0.082819181164157,0.085264049475647,0.073152862804971,0.390272735892742,0.100969732725055,0,0,0,0.051062360557609,0,0,0,0.051564294764548,0,17
58,45427,0,14765,17892,58731,22345,0,0,0,10540,0,0,0,10218,0,0.252487244189019,0,0.082065047853034,0.099445163304198,0.326431583166716,0.124195292534782,0,0,0,0.058582160810768,0,0,0,0.056792459123759,0,17
59,32883,0,20960,15145,56091,27004,5268,0,0,10898,0,0,0,0,0,0.19544246919744,0,0.124577118748642,0.09001528928665,0.333380494643611,0.160500024555741,0.031310699502283,0,0,0.064772969471503,0,0,0,0,0,17
60,31755,0,13228,18636,57121,28287,10660,0,0,7001,0,0,0,8752,0,0.181002051983584,0,0.075398919018701,0.106224240613284,0.325586759394257,0.161234443776988,0.06076145122009,0,0,0.039905339586478,0,0,0,0.049885949444487,0,17
61,30901,0,15950,14186,48250,26446,5273,0,0,15055,0,0,0,16774,0,0.17878901842798,0,0.092284453383592,0.082078197849507,0.279167703809299,0.153012830983228,0.030508835278475,0,0,0.087106109447648,0,0,0,0.097052001320149,0,17
